scenario,dataset,angle_deg,thickness_um,weighted_rmse,affine_scale,affine_offset,effective_points,point_weight_sum
all_equal,SiC_10deg,10.0,7.2,0.005552521709508988,0.7427543728084027,0.04225143360020814,865,865.0
all_equal,SiC_15deg,15.0,7.2,0.005213132412026494,0.8863089415280303,0.024334477504481644,865,865.0
all_equal,joint,,7.2,0.005382827060767742,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.205,0.005506682779159017,0.7469257766183004,0.0414948403681944,865,865.0
all_equal,SiC_15deg,15.0,7.205,0.00514607456854933,0.8910036213864759,0.023483099340193103,865,865.0
all_equal,joint,,7.205,0.005326378673854173,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.21,0.005459283902660944,0.7511943693716112,0.040720576015888466,865,865.0
all_equal,SiC_15deg,15.0,7.21,0.00507752074685119,0.8957349496762019,0.022624936623897585,865,865.0
all_equal,joint,,7.21,0.005268402324756067,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.215,0.005410310907944045,0.755557625239404,0.03992910119185161,865,865.0
all_equal,SiC_15deg,15.0,7.215,0.00500748690412937,0.9004986001830841,0.021760775937888194,865,865.0
all_equal,joint,,7.215,0.005208898906036708,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.22,0.0053597503402419274,0.7600128812512438,0.039120901586849,865,865.0
all_equal,SiC_15deg,15.0,7.22,0.004935991543848078,0.9052901963781521,0.020891413413631127,865,865.0
all_equal,joint,,7.22,0.005147870942045003,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.225,0.005307589527658525,0.7645573347282082,0.038296488389534006,865,865.0
all_equal,SiC_15deg,15.0,7.225,0.004863055876362753,0.9101053146311349,0.020017654139448338,865,865.0
all_equal,joint,,7.225,0.005085322702010639,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.23,0.00525381665157487,0.7691880405126141,0.037456398777611644,865,865.0
all_equal,SiC_15deg,15.0,7.23,0.004788703998121635,0.9149394868436272,0.01914031167078281,865,865.0
all_equal,joint,,7.23,0.005021260324848253,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.235,0.005198420822100271,0.7739019080310786,0.036601196437842015,865,865.0
all_equal,SiC_15deg,15.0,7.235,0.004712963092023626,0.9197882025168707,0.018260207640360127,865,865.0
all_equal,joint,,7.235,0.004955691957061948,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.24,0.00514139215878057,0.7786956982338996,0.03573147210710423,865,865.0
all_equal,SiC_15deg,15.0,7.24,0.004635863651849487,0.9246469102805596,0.017378171463514253,865,865.0
all_equal,joint,,7.24,0.004888627905315028,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.245,0.005082721876790046,0.7835660204597175,0.034847844125665856,865,865.0
all_equal,SiC_15deg,15.0,7.245,0.004557439734074801,0.9295110189201273,0.016495040131964483,865,865.0
all_equal,joint,,7.245,0.004820080805432423,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.25,0.005022402378852722,0.7885093292799856,0.03395095899280651,865,865.0
all_equal,SiC_15deg,15.0,7.25,0.004477729240826091,0.9343758979505592,0.015611658087430563,865,865.0
all_equal,joint,,7.25,0.004750065809839407,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.255,0.004960427353165677,0.7935219213827729,0.033041491914047455,865,865.0
all_equal,SiC_15deg,15.0,7.255,0.0043967742382668516,0.9392368777946675,0.01472887716470006,865,865.0
all_equal,joint,,7.255,0.0046786007957162635,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.26,0.004896791877633169,0.7985999325598018,0.03212014732845675,865,865.0
all_equal,SiC_15deg,15.0,7.26,0.004314621315308634,0.9440892496328301,0.01384755659213635,865,865.0
all_equal,joint,,7.26,0.004605706596470901,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.265,0.004831492530768289,0.8037393348643115,0.031187659403839968,865,865.0
all_equal,SiC_15deg,15.0,7.265,0.004231321988245241,0.9489282649993043,0.01296856303616184,865,865.0
all_equal,joint,,7.265,0.004531407259506765,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.27,0.004764527509681415,0.8089359340102225,0.03024479248711498,865,865.0
all_equal,SiC_15deg,15.0,7.27,0.004146933157717705,0.9537491352072025,0.012092770674999781,865,865.0
all_equal,joint,,7.27,0.00445573033369956,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.275,0.004695896755655622,0.814185367085141,0.02929234149680443,865,865.0
all_equal,SiC_15deg,15.0,7.275,0.004061517625344298,0.9585470306900074,0.011221061285925177,865,865.0
all_equal,joint,,7.275,0.0043787071904999595,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.28,0.004625602087912348,0.8194831006508951,0.02833113224438008,865,865.0
all_equal,SiC_15deg,15.0,7.28,0.003975144678402811,0.9633170803519461,0.010354324329476694,865,865.0
all_equal,joint,,7.28,0.004300373383157579,,,1730,1730.0
all_equal,SiC_10deg,10.0,7.285,0.004553647346301595,0.8248244293054764,0.027362021671172215,865,865.0
