dataset,material,angle_deg,kind,from_wavenumber_cm,to_wavenumber_cm,spacing_cm,n0,thickness_um
SiC_10deg,SiC,10.0,peak-peak,1088.619,1394.764,306.145,2.6,6.295645425077506
SiC_10deg,SiC,10.0,peak-peak,1394.764,1838.311,443.547,2.6,4.34538023853245
SiC_10deg,SiC,10.0,peak-peak,1838.311,2080.333,242.02200000000016,2.6,7.963657719795521
SiC_10deg,SiC,10.0,peak-peak,2080.333,2325.731,245.39800000000014,2.6,7.854099742705123
SiC_10deg,SiC,10.0,peak-peak,2325.731,2585.11,259.3789999999999,2.6,7.430749477252798
SiC_10deg,SiC,10.0,peak-peak,2585.11,2841.596,256.4859999999999,2.6,7.5145636356774
SiC_10deg,SiC,10.0,peak-peak,2841.596,3093.261,251.66499999999996,2.6,7.65851575968193
SiC_10deg,SiC,10.0,peak-peak,3093.261,3350.711,257.4499999999998,2.6,7.486425980424758
SiC_10deg,SiC,10.0,peak-peak,3350.711,3609.125,258.4140000000002,2.6,7.45849825729392
SiC_10deg,SiC,10.0,peak-peak,3609.125,3855.969,246.84400000000005,2.6,7.808090813065549
SiC_10deg,SiC,10.0,trough-trough,1127.671,1472.866,345.19499999999994,2.6,5.583453898985654
SiC_10deg,SiC,10.0,trough-trough,1472.866,1712.479,239.61300000000006,2.6,8.043722037870868
SiC_10deg,SiC,10.0,trough-trough,1712.479,2198.934,486.45500000000015,2.6,3.9620938599877733
SiC_10deg,SiC,10.0,trough-trough,2198.934,2450.117,251.183,2.6,7.67321183623236
SiC_10deg,SiC,10.0,trough-trough,2450.117,2704.675,254.558,2.6,7.571478282593172
SiC_10deg,SiC,10.0,trough-trough,2704.675,2960.678,256.0029999999997,2.6,7.528741337641961
SiC_10deg,SiC,10.0,trough-trough,2960.678,3217.647,256.96900000000005,2.6,7.50043923064787
SiC_10deg,SiC,10.0,trough-trough,3217.647,3467.865,250.21799999999985,2.6,7.702804629004923
SiC_10deg,SiC,10.0,trough-trough,3467.865,3720.977,253.11200000000008,2.6,7.614733274836246
SiC_10deg,SiC,10.0,trough-trough,3720.977,3971.677,250.70000000000027,2.6,7.687995088393899
SiC_15deg,SiC,15.0,peak-peak,1094.887,1406.816,311.9290000000001,2.6,6.195886119181192
SiC_15deg,SiC,15.0,peak-peak,1406.816,1857.114,450.298,2.6,4.2919945486546025
SiC_15deg,SiC,15.0,peak-peak,1857.114,2099.136,242.02199999999993,2.6,7.985540823851018
SiC_15deg,SiC,15.0,peak-peak,2099.136,2611.626,512.4900000000002,2.6,3.7711498005230726
SiC_15deg,SiC,15.0,peak-peak,2611.626,2867.148,255.52199999999993,2.6,7.563640552555439
SiC_15deg,SiC,15.0,peak-peak,2867.148,3123.634,256.4859999999999,2.6,7.535212687125501
SiC_15deg,SiC,15.0,peak-peak,3123.634,3381.084,257.4499999999998,2.6,7.506997713226148
SiC_15deg,SiC,15.0,peak-peak,3381.084,3634.678,253.59400000000005,2.6,7.621144669314218
SiC_15deg,SiC,15.0,peak-peak,3634.678,3884.414,249.73600000000033,2.6,7.7388785007770915
SiC_15deg,SiC,15.0,trough-trough,1028.837,1290.144,261.307,2.6,7.396191304749089
SiC_15deg,SiC,15.0,trough-trough,1290.144,1730.317,440.173,2.6,4.390720378737611
SiC_15deg,SiC,15.0,trough-trough,1730.317,2218.701,488.384,2.6,3.9572888572722906
SiC_15deg,SiC,15.0,trough-trough,2218.701,2474.705,256.0039999999999,2.6,7.5493998580884325
SiC_15deg,SiC,15.0,trough-trough,2474.705,2731.191,256.4859999999999,2.6,7.535212687125501
SiC_15deg,SiC,15.0,trough-trough,2731.191,2988.641,257.4500000000003,2.6,7.506997713226135
SiC_15deg,SiC,15.0,trough-trough,2988.641,3246.574,257.933,2.6,7.492940264603871
SiC_15deg,SiC,15.0,trough-trough,3246.574,3496.792,250.21799999999985,2.6,7.7239709424184975
SiC_15deg,SiC,15.0,trough-trough,3496.792,3765.331,268.5390000000002,2.6,7.197005132476359
Si_10deg,Si,10.0,peak-peak,1105.494,1508.543,403.049,3.42,3.632006236930923
Si_10deg,Si,10.0,peak-peak,1508.543,1928.467,419.9240000000002,3.42,3.486051003964457
Si_10deg,Si,10.0,peak-peak,1928.467,2360.443,431.9760000000001,3.42,3.3887912332832637
Si_10deg,Si,10.0,peak-peak,2360.443,2779.403,418.9599999999996,3.42,3.494072182997835
Si_10deg,Si,10.0,peak-peak,2779.403,3213.79,434.38700000000017,3.42,3.3699822549679683
Si_10deg,Si,10.0,peak-peak,3213.79,3641.427,427.63700000000017,3.42,3.4231754543895194
Si_10deg,Si,10.0,peak-peak,3641.427,3975.534,334.10699999999997,3.42,4.3814600765286915
Si_10deg,Si,10.0,trough-trough,1314.25,1722.603,408.35300000000007,3.42,3.5848309717052924
Si_10deg,Si,10.0,trough-trough,1722.603,2142.044,419.4409999999998,3.42,3.4900653054631574
Si_10deg,Si,10.0,trough-trough,2142.044,2566.789,424.74500000000035,3.42,3.4464831411523864
Si_10deg,Si,10.0,trough-trough,2566.789,2996.355,429.5659999999998,3.42,3.4078034150486123
Si_10deg,Si,10.0,trough-trough,2996.355,3428.814,432.45899999999983,3.42,3.3850063978059706
Si_10deg,Si,10.0,trough-trough,3428.814,3868.022,439.2080000000001,3.42,3.3329913885648055
Si_15deg,Si,15.0,peak-peak,1113.689,1520.596,406.9069999999999,3.42,3.60326291398999
Si_15deg,Si,15.0,peak-peak,1520.596,1945.823,425.2270000000001,3.42,3.4480240025749165
Si_15deg,Si,15.0,peak-peak,1945.823,2392.745,446.9219999999998,3.42,3.2806460692087773
Si_15deg,Si,15.0,peak-peak,2392.745,2804.473,411.72800000000007,3.42,3.5610716359900816
Si_15deg,Si,15.0,peak-peak,2804.473,3243.199,438.7260000000001,3.42,3.341933011818137
