dataset,angle_deg,preprocessing,wavenumber_cm,processed_signal
SiC_10deg,10.0,center_only,1500.347,-0.03205447896219479
SiC_10deg,10.0,center_only,1502.347,-0.031714660973190645
SiC_10deg,10.0,center_only,1504.347,-0.03102592372837734
SiC_10deg,10.0,center_only,1506.347,-0.03008834868792093
SiC_10deg,10.0,center_only,1508.347,-0.028767391948501836
SiC_10deg,10.0,center_only,1510.347,-0.028109434058660482
SiC_10deg,10.0,center_only,1512.347,-0.027521044468626354
SiC_10deg,10.0,center_only,1514.347,-0.027057103080000172
SiC_10deg,10.0,center_only,1516.347,-0.02598572364144794
SiC_10deg,10.0,center_only,1518.347,-0.025455477167588947
SiC_10deg,10.0,center_only,1520.347,-0.02486416433709107
SiC_10deg,10.0,center_only,1522.347,-0.024161097701198953
SiC_10deg,10.0,center_only,1524.347,-0.023948324473813037
SiC_10deg,10.0,center_only,1526.347,-0.02422693788750596
SiC_10deg,10.0,center_only,1528.347,-0.02389553619684212
SiC_10deg,10.0,center_only,1530.347,-0.023494775759705155
SiC_10deg,10.0,center_only,1532.347,-0.022984312720286004
SiC_10deg,10.0,center_only,1534.347,-0.02198762426302467
SiC_10deg,10.0,center_only,1536.347,-0.02153165816883376
SiC_10deg,10.0,center_only,1538.347,-0.020823033308667804
SiC_10deg,10.0,center_only,1540.347,-0.019987978918211413
SiC_10deg,10.0,center_only,1542.347,-0.019643321369248762
SiC_10deg,10.0,center_only,1544.347,-0.020093973175680263
SiC_10deg,10.0,center_only,1546.347,-0.020556571019663655
SiC_10deg,10.0,center_only,1548.347,-0.020862228267174043
SiC_10deg,10.0,center_only,1550.347,-0.021150581486261227
SiC_10deg,10.0,center_only,1552.347,-0.021486966794559942
SiC_10deg,10.0,center_only,1554.347,-0.02115445145431094
SiC_10deg,10.0,center_only,1556.347,-0.021002328732734166
SiC_10deg,10.0,center_only,1558.347,-0.02031987257837739
SiC_10deg,10.0,center_only,1560.347,-0.019336250608875255
SiC_10deg,10.0,center_only,1562.347,-0.019154651993937538
SiC_10deg,10.0,center_only,1564.347,-0.018807548234393984
SiC_10deg,10.0,center_only,1566.347,-0.01834933178999562
SiC_10deg,10.0,center_only,1568.347,-0.01767805831022798
SiC_10deg,10.0,center_only,1570.347,-0.016524633306178177
SiC_10deg,10.0,center_only,1572.347,-0.015725451839834537
SiC_10deg,10.0,center_only,1574.347,-0.015060935659705205
SiC_10deg,10.0,center_only,1576.347,-0.013877710661364895
SiC_10deg,10.0,center_only,1578.347,-0.013054562053688545
SiC_10deg,10.0,center_only,1580.347,-0.012300181326510146
SiC_10deg,10.0,center_only,1582.347,-0.011715970667588976
SiC_10deg,10.0,center_only,1584.347,-0.011122336172339736
