dataset,angle_deg,preprocessing,band_min_cm,band_max_cm,n_eff_for_constant_n_check,fft_status,fft_resolution,peak_frequency_cycles_per_cm,peak_period_cm,constant_n_thickness_um,peak_to_second,peak_to_median,target_energy_fraction,signal_std,peak_count,peak_median_spacing_cm,peak_constant_n_interval_thickness_um,trough_count,trough_median_spacing_cm,trough_constant_n_interval_thickness_um
SiC_10deg,10.0,center_only,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.5849084652404133,24.14465144099289,0.4981245041388449,0.00885906645990436,10,251.0,7.67880624964284,11,251.5,7.663540233241958
SiC_10deg,10.0,ma_detrend_201cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.605105227679011,24.337424987576075,0.6362091031582285,0.013238232386425937,10,255.0,7.5583543869033445,9,252.0,7.648334796271241
SiC_10deg,10.0,ma_detrend_401cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.663669780494391,35.17850241772281,0.5035016046809825,0.018941581862915488,10,256.0,7.528829565079503,9,253.0,7.618104223953964
SiC_10deg,10.0,ma_detrend_801cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.465302913925337,7.6475683852192295,0.15639255434635643,0.024120449272434542,9,257.5,7.484972305477098,9,248.9999999999999,7.740483408274512
SiC_10deg,10.0,poly2_detrend,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.5802671622587803,25.425510831660475,0.943126873536105,0.0041368428961633934,10,255.0,7.5583543869033445,11,250.5,7.694133208224961
SiC_10deg,10.0,poly3_detrend,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.5791509078583499,24.83482388935638,0.9918763910209297,0.004006174861454353,10,253.0,7.618104223953964,11,249.4999999999999,7.724971417476367
SiC_10deg,10.0,rolling_median_401cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.5680944831126098,31.530568790005688,0.9974917707304941,0.0049729314953064225,10,251.0,7.67880624964284,11,249.9999999999999,7.709521474641415
SiC_10deg,10.0,rolling_q20_401cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.5932317509530927,26.549466975150857,0.9152565795656447,0.00479771774500184,10,252.0,7.648334796271241,11,250.5,7.694133208224961
SiC_10deg,10.0,first_difference,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.709521474641411,1.6012337693152427,23.660907035307744,0.33813336844954667,0.00016894308029855867,11,250.4999999999999,7.694133208224965,11,245.5,7.850836532221397
SiC_15deg,15.0,center_only,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.4813126956145104,11.88467358715198,0.4317501420314085,0.00977074489638117,10,255.0,7.57912376968655,10,256.0,7.549517817461212
SiC_15deg,15.0,ma_detrend_201cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.4881701179894613,13.12759217712242,0.5917959594198067,0.013828578696903324,10,257.0,7.520142261751247,9,258.5,7.476505072611491
SiC_15deg,15.0,ma_detrend_401cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.6033709637939677,14.912282635710712,0.4661735167155884,0.019891159897216053,10,257.0,7.520142261751247,9,256.0,7.549517817461212
SiC_15deg,15.0,ma_detrend_801cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.3273089737080683,5.849700934066524,0.1375750882846949,0.025480825876939096,9,257.0,7.520142261751247,9,252.5,7.6541645990893885
SiC_15deg,15.0,poly2_detrend,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.4815484731065272,11.67981366663979,0.9482258303640035,0.004233605168536858,10,255.0,7.57912376968655,11,254.5,7.594013993202634
SiC_15deg,15.0,poly3_detrend,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.4814137049529064,11.659476941669457,0.9717505151569511,0.004099653849139618,10,254.0,7.6089628396459466,11,255.5,7.564291824931783
SiC_15deg,15.0,rolling_median_401cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.4708757569934316,12.42106106005132,0.989936160562741,0.005097159179689096,10,256.0,7.549517817461212,11,255.5,7.564291824931783
SiC_15deg,15.0,rolling_q20_401cm,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.5055431899963339,12.944490838102283,0.9283887427653319,0.004866689084102933,10,254.0,7.6089628396459466,11,255.5,7.564291824931783
SiC_15deg,15.0,first_difference,1500.0,4000.0,2.6,ok,0.0004,0.004,250.0,7.730706245080282,1.48894224273815,13.41165382699904,0.2910957557212201,0.00018097668408761675,11,248.0,7.7930506502825425,11,250.5,7.715275693692895
