role,wavenumber_cm,epsilon_real,epsilon_imag,n,k
epilayer,1500.0,5.303450679656208,0.01596957075151092,2.3029248145318086,0.003467236674584528
epilayer,1750.0,5.723061058277212,0.011877804199014535,2.3922932974771305,0.0024825142075055456
epilayer,2000.0,5.955774936200163,0.009537732256157332,2.4404464252858715,0.001954095807499665
epilayer,2250.0,6.100533210552932,0.008011702142853615,2.469926282493435,0.0016218504575702677
epilayer,2500.0,6.197567127177552,0.006931589366413254,2.489491728307954,0.001392169591807498
epilayer,2750.0,6.2661517688331045,0.00612317523432972,2.503228568209065,0.0012230555595469546
epilayer,3000.0,6.3165964482561145,0.005493159831517161,2.5132842343281943,0.0010928250287985221
epilayer,3250.0,6.354871661365298,0.004986956517471229,2.520887272318615,0.0009891272355237882
epilayer,3500.0,6.384650668683979,0.004570427542007,2.526786790889687,0.0009043951706740051
epilayer,3750.0,6.40830375696253,0.004221082562186051,2.5314629075019393,0.0008337239604967069
epilayer,4000.0,6.427420724504504,0.003923472187569173,2.535235950213105,0.0007737883701198257
substrate,1500.0,4.939892692508641,0.23868504302339005,2.2232350751334202,0.0536796683564976
substrate,1750.0,5.4496864628516075,0.1685073512734282,2.3347352605865646,0.036087036101706334
substrate,2000.0,5.743253113052259,0.12757439159509903,2.3966563115003066,0.02661507847056249
substrate,2250.0,5.930830744303225,0.1014401810259142,2.435418745842377,0.02082602451818352
substrate,2500.0,6.059057580384122,0.08363969578594317,2.4615739291822525,0.016989068415615028
substrate,2750.0,6.151030941424525,0.07089943900703276,2.4801683892484414,0.014293271238030177
substrate,3000.0,6.219443693698652,0.061414197301023106,2.4939116462633266,0.012312825394805209
substrate,3250.0,6.271810626457187,0.05412180516594303,2.5043816369755443,0.010805422857057856
substrate,3500.0,6.31283909101796,0.048364059413608454,2.5125548196215193,0.009624478446383472
substrate,3750.0,6.34561191965448,0.04371525780793491,2.519064748660677,0.008676882527766942
substrate,4000.0,6.3722223124209725,0.0398899529011605,2.5243384755886447,0.007901070574907482
