dataset,angle_deg,thickness_um,affine_rmse,affine_scale,affine_offset
SiC_10deg,10.0,3.0,0.005472511266349673,0.7413644136122167,0.04220254663442514
SiC_10deg,10.0,3.02,0.005498225508230477,0.749276851326429,0.04075427439073421
SiC_10deg,10.0,3.04,0.0055202331555963945,0.7580807151273182,0.039143794896367226
SiC_10deg,10.0,3.06,0.005537855699582045,0.7677346089336731,0.03737787575721475
SiC_10deg,10.0,3.08,0.005550585570637797,0.7781671332155431,0.03546877524484051
SiC_10deg,10.0,3.1,0.005558149309424442,0.7892686077445514,0.03343579557620514
SiC_10deg,10.0,3.12,0.00556054356542935,0.8008875344615917,0.031305976288400435
SiC_10deg,10.0,3.14,0.005558037185160781,0.8128337536006223,0.029113570295891646
SiC_10deg,10.0,3.16,0.0055511382444973075,0.8248889736214968,0.026898174476735207
SiC_10deg,10.0,3.18,0.005540531495242469,0.8368235821792201,0.024701707073054625
SiC_10deg,10.0,3.2,0.005526998173802859,0.8484167943446123,0.022564759962082317
SiC_10deg,10.0,3.22,0.005511334615371319,0.8594758836059325,0.020523093461740482
SiC_10deg,10.0,3.24,0.005494286642424154,0.8698500637075991,0.01860507708083942
SiC_10deg,10.0,3.26,0.005476512189697906,0.8794358051706447,0.016830663293948056
SiC_10deg,10.0,3.2800000000000002,0.005458575898242396,0.8881726968473692,0.015212062755492372
SiC_10deg,10.0,3.3,0.005440969179306553,0.8960316347259882,0.013755806017426127
SiC_10deg,10.0,3.32,0.0054241410740127815,0.9029992178940707,0.01246549538871381
SiC_10deg,10.0,3.34,0.005408521966032946,0.9090630825299995,0.011344393951420987
SiC_10deg,10.0,3.36,0.005394524904888487,0.9142023209111888,0.010397102435302142
SiC_10deg,10.0,3.38,0.005382517097125057,0.9183853934028456,0.009629888998121994
SiC_10deg,10.0,3.4,0.005372764727456332,0.9215756140786995,0.009049659353952143
SiC_10deg,10.0,3.42,0.005365364622472556,0.9237420320365908,0.008661965265265291
SiC_10deg,10.0,3.44,0.005360183177980201,0.9248719459660172,0.008468737201285912
SiC_10deg,10.0,3.46,0.005356823915632475,0.9249808220084521,0.008466510680841862
SiC_10deg,10.0,3.48,0.005354639146390636,0.9241161974527159,0.008645765728833073
SiC_10deg,10.0,3.5,0.005352789992247114,0.9223540328622087,0.008991654295616094
SiC_10deg,10.0,3.52,0.005350346050398793,0.9197883465002418,0.009485957300246178
SiC_10deg,10.0,3.54,0.005346405561198071,0.9165170598547093,0.010109731577459775
SiC_10deg,10.0,3.56,0.005340212197349352,0.9126281234129031,0.010845900865182674
SiC_10deg,10.0,3.58,0.005331246370933172,0.9081898387106493,0.011681074980367879
SiC_10deg,10.0,3.6,0.005319275944206019,0.9032479457763801,0.012606128276589263
SiC_10deg,10.0,3.62,0.005304360978604999,0.8978299705700704,0.013615446742771802
SiC_10deg,10.0,3.64,0.005286817117965106,0.8919551807250983,0.014705143271561956
SiC_10deg,10.0,3.66,0.0052671502683038695,0.8856469236027428,0.015870826195988084
SiC_10deg,10.0,3.68,0.005245979855073558,0.8789435686919386,0.017105606178939282
SiC_10deg,10.0,3.7,0.005223968215581647,0.8719048702807254,0.01839891917285165
SiC_10deg,10.0,3.7199999999999998,0.005201769654462008,0.8646120592789573,0.0197364734182312
SiC_10deg,10.0,3.74,0.0051800055306256325,0.8571618355441252,0.021101292065271813
SiC_10deg,10.0,3.76,0.005159263568650075,0.8496560577471113,0.02247552938728755
SiC_10deg,10.0,3.7800000000000002,0.005140112751706406,0.8421898666396946,0.023842568873933878
SiC_10deg,10.0,3.8,0.0051231214179425265,0.834841077094523,0.02518889327625469
SiC_10deg,10.0,3.8200000000000003,0.00510886620992576,0.8276630692303572,0.02650532570742402
SiC_10deg,10.0,3.84,0.005097922909325487,0.8206823959088905,0.02778742376078418
SiC_10deg,10.0,3.86,0.0050908358256678415,0.8139012145954042,0.02903500904531412
SiC_10deg,10.0,3.88,0.005088068895976373,0.8073036816283853,0.030250989895265704
SiC_10deg,10.0,3.9,0.005089947512370782,0.8008647582000128,0.03143975942589902
SiC_10deg,10.0,3.92,0.005096603909552088,0.7945595424353528,0.03260551120493905
SiC_10deg,10.0,3.94,0.005107939591698209,0.7883712879643919,0.03375080555648865
SiC_10deg,10.0,3.96,0.005123615318885929,0.7822966781187504,0.03487564427740745
SiC_10deg,10.0,3.98,0.00514307319856055,0.7763476169401101,0.035977184978030964
SiC_10deg,10.0,4.0,0.005165588063284925,0.7705496257859102,0.03705007547706178
SiC_10deg,10.0,4.02,0.005190338721325043,0.7649377036762225,0.038087249048019925
SiC_10deg,10.0,4.04,0.005216485722213187,0.7595510322435322,0.039080926996706844
SiC_10deg,10.0,4.0600000000000005,0.005243241895159376,0.7544280578041211,0.04002354837522233
SiC_10deg,10.0,4.08,0.005269924818403533,0.7496032413435896,0.04090839130375118
SiC_10deg,10.0,4.1,0.005295985395916117,0.7451062142710179,0.04172975118051932
SiC_10deg,10.0,4.12,0.005321012342443876,0.7409633709286195,0.04248266939760333
SiC_10deg,10.0,4.140000000000001,0.005344717237898692,0.737201254723374,0.04316232833790955
SiC_10deg,10.0,4.16,0.005366907952349564,0.7338506221834804,0.04376331408970965
SiC_10deg,10.0,4.18,0.0053874592141260275,0.7309499091358568,0.044278977650017544
SiC_10deg,10.0,4.2,0.0054062879488790926,0.7285470017395312,0.044701093757173835
SiC_10deg,10.0,4.22,0.005423338257873245,0.726698667516027,0.04501993551215494
SiC_10deg,10.0,4.24,0.005438577352809862,0.7254675923557028,0.04522477686291613
SiC_10deg,10.0,4.26,0.005452000355613136,0.7249175365068757,0.04530473291073437
SiC_10deg,10.0,4.28,0.005463639396572451,0.7251075283205074,0.045249774561399635
SiC_10deg,10.0,4.3,0.0054735713614908555,0.7260861838164717,0.04505172292959462
SiC_10deg,10.0,4.32,0.005481919020585975,0.727887168664733,0.044705041091910744
SiC_10deg,10.0,4.34,0.005488841888255325,0.7305265551612292,0.04420728781942492
SiC_10deg,10.0,4.36,0.005494515618867507,0.7340024410268462,0.043559167218901865
SiC_10deg,10.0,4.38,0.005499101585134869,0.7382967593356564,0.042764187210493174
SiC_10deg,10.0,4.4,0.005502711029773376,0.7433787813305451,0.04182801724803133
SiC_10deg,10.0,4.42,0.005505370310807395,0.7492094554618893,0.04075770078363317
SiC_10deg,10.0,4.4399999999999995,0.005506994753194821,0.7557455003677969,0.039560918971792855
SiC_10deg,10.0,4.46,0.00550737806045581,0.7629421417032541,0.038245507081589726
SiC_10deg,10.0,4.48,0.005506202001086253,0.7707536010554797,0.03681938523594564
SiC_10deg,10.0,4.5,0.005503067464580779,0.77913091475199,0.03529097955766379
SiC_10deg,10.0,4.52,0.005497543705624359,0.7880173215403011,0.033670089496540385
SiC_10deg,10.0,4.54,0.005489228631529354,0.7973421831613298,0.03196902528910519
SiC_10deg,10.0,4.5600000000000005,0.005477810266934873,0.807015014446817,0.030203728137331395
SiC_10deg,10.0,4.58,0.0054631186973883115,0.8169215124850807,0.028394528659320937
SiC_10deg,10.0,4.6,0.005445159106177357,0.8269233365765799,0.026566223749820737
SiC_10deg,10.0,4.62,0.0054241198542922964,0.8368627377468115,0.024747269853349838
SiC_10deg,10.0,4.640000000000001,0.005400354434617668,0.8465720380437238,0.022968089345684266
SiC_10deg,10.0,4.66,0.005374341697504904,0.8558866468734564,0.02125872464722346
SiC_10deg,10.0,4.68,0.005346633739023319,0.8646591446164749,0.019646285037751215
SiC_10deg,10.0,4.7,0.005317803793083512,0.8727713734095148,0.01815273958962195
SiC_10deg,10.0,4.72,0.005288406163036234,0.8801417392709205,0.016793563754592896
SiC_10deg,10.0,4.74,0.005258956341005554,0.8867260582651915,0.015577544633428787
SiC_10deg,10.0,4.76,0.005229932937915937,0.8925119538323166,0.014507747875710022
SiC_10deg,10.0,4.78,0.005201795900826666,0.897508495863307,0.01358334440913736
