band_name,lower_cm,upper_cm,includes_reststrahlen,dataset,angle_deg,n_points,best_thickness_um,best_rmse,affine_scale,affine_offset
full_measured,400.0,4000.0,True,SiC_10deg,10.0,1067,7.42,0.004452783417563104,0.9644825077087794,0.0014057049778144098
full_measured,400.0,4000.0,True,SiC_15deg,15.0,1067,7.34,0.00972237249955838,1.0399088323868493,-0.0027644221946781
include_reststrahlen_tail,800.0,4000.0,True,SiC_10deg,10.0,1107,7.46,0.003881955249313635,0.9653812066329692,0.001230117564434719
include_reststrahlen_tail,800.0,4000.0,True,SiC_15deg,15.0,1107,7.36,0.009400928258722347,1.0377527112124776,-0.0032422453260152998
classic_high,1000.0,4000.0,False,SiC_10deg,10.0,1037,7.46,0.0020142850078431786,0.9784934523209963,-0.0008867941701231715
classic_high,1000.0,4000.0,False,SiC_15deg,15.0,1037,7.38,0.002869325919802329,1.0133832582817481,0.0008767222777312618
moderate_high,1200.0,4000.0,False,SiC_10deg,10.0,1162,7.46,0.0014843638598588827,0.9678085202160859,0.0010616168248782718
moderate_high,1200.0,4000.0,False,SiC_15deg,15.0,1162,7.4,0.0022130702603608324,1.000670507680787,0.0031962386646288373
current_baseline,1500.0,4000.0,False,SiC_10deg,10.0,1037,7.46,0.001201291470442635,1.0153907416933599,-0.0075507084814784445
current_baseline,1500.0,4000.0,False,SiC_15deg,15.0,1037,7.4,0.001978020470265392,1.0774924642072252,-0.010776232363433589
higher_only,1800.0,4000.0,False,SiC_10deg,10.0,1141,7.46,0.0005591822147401014,1.0948835247492772,-0.02212332351518987
higher_only,1800.0,4000.0,False,SiC_15deg,15.0,1141,7.4,0.0013355625884537898,1.2650550464098813,-0.045309421944655315
high_core,2000.0,4000.0,False,SiC_10deg,10.0,1037,7.46,0.000563075791323058,1.105938185226692,-0.024197862432733627
high_core,2000.0,4000.0,False,SiC_15deg,15.0,1037,7.4,0.0012916736541920023,1.3370780970681924,-0.058729745628130596
trim_both_sides,1500.0,3500.0,False,SiC_10deg,10.0,1037,7.46,0.001297317593380179,1.0095940529261933,-0.006562050713150189
trim_both_sides,1500.0,3500.0,False,SiC_15deg,15.0,1037,7.4,0.0017329418027826917,1.0215744143504657,-0.001270327839808093
