dataset,angle_deg,thickness_um,wavenumber_cm,observed_reflectance,model_raw_reflectance,fitted_reflectance,residual
SiC_10deg,10.0,7.455,1500.347,0.1443565194,0.14306014226635766,0.1384487646020015,0.005907754797998488
SiC_10deg,10.0,7.455,1503.24,0.14496072299999999,0.1436282231590194,0.1390179103613491,0.005942812638650874
SiC_10deg,10.0,7.455,1506.133,0.14626487700000002,0.14427403706010372,0.13966493483951395,0.006599942160486066
SiC_10deg,10.0,7.455,1509.025,0.1478220472,0.14499303095232635,0.14038527648458843,0.0074367707154115725
SiC_10deg,10.0,7.455,1511.918,0.14874472519999998,0.14578093999572678,0.14117466246217666,0.007570062737823319
SiC_10deg,10.0,7.455,1514.811,0.1497519751,0.1466323428362647,0.14202766125591923,0.00772431384408076
SiC_10deg,10.0,7.455,1517.703,0.1507932595,0.147541360325257,0.1429383826966786,0.007854876803321392
SiC_10deg,10.0,7.455,1520.596,0.1515868491,0.14850274992573947,0.14390157442036383,0.007685274679636173
SiC_10deg,10.0,7.455,1523.489,0.1524925269,0.14951007035149194,0.14491078306657437,0.007581743833425636
SiC_10deg,10.0,7.455,1526.381,0.1521778937,0.15055660694029663,0.1459592813864694,0.006218612313530603
SiC_10deg,10.0,7.455,1529.274,0.1525942497,0.15163658197898722,0.14704128083656887,0.005552968863431124
SiC_10deg,10.0,7.455,1532.167,0.1533039237,0.1527430325526513,0.14814980544998796,0.005154118250012052
SiC_10deg,10.0,7.455,1535.06,0.1546591588,0.1538692980408805,0.14927818212099653,0.005380976679003474
SiC_10deg,10.0,7.455,1537.952,0.1552090704,0.15500831866858988,0.15041933784097292,0.004789732559027093
SiC_10deg,10.0,7.455,1540.845,0.15680834629999998,0.15615426300219684,0.15156743024532204,0.005240916054677941
SiC_10deg,10.0,7.455,1543.738,0.156567751,0.15730020613885665,0.15271552145048037,0.003852229549519637
SiC_10deg,10.0,7.455,1546.63,0.1558737664,0.1584393532670837,0.15385680390809944,0.002016962491900559
SiC_10deg,10.0,7.455,1549.523,0.1553173403,0.15956626061917437,0.1549858236461422,0.00033151665385780515
SiC_10deg,10.0,7.455,1552.416,0.1548782588,0.1606745051045913,0.15609614553399873,-0.0012178867339987243
SiC_10deg,10.0,7.455,1555.308,0.1550556363,0.16175792809427092,0.1571815993982656,-0.0021259630982655986
SiC_10deg,10.0,7.455,1558.201,0.1559556426,0.1628117604535423,0.15823740716453688,-0.002281764564536881
SiC_10deg,10.0,7.455,1561.094,0.1572054468,0.16383039889933604,0.15925795504639842,-0.00205250824639841
SiC_10deg,10.0,7.455,1563.987,0.15742744679999998,0.16480893918099299,0.16023832960018136,-0.00281088280018138
SiC_10deg,10.0,7.455,1566.879,0.158218104,0.16574250323415102,0.16117364361760006,-0.0029555396176000615
SiC_10deg,10.0,7.455,1569.772,0.1594626209,0.16662753315147807,0.16206033252203111,-0.0025977116220311236
SiC_10deg,10.0,7.455,1572.665,0.1605825163,0.16745986734961582,0.16289422692923514,-0.002311710629235131
SiC_10deg,10.0,7.455,1575.557,0.1620856503,0.16823580329807464,0.16367161736833524,-0.0015859670683352478
SiC_10deg,10.0,7.455,1578.45,0.16336315240000002,0.16895283058118904,0.164389988717896,-0.0010268363178959905
SiC_10deg,10.0,7.455,1581.343,0.1643363953,0.16960802700272534,0.16504641330403177,-0.0007100180040317816
SiC_10deg,10.0,7.455,1584.235,0.1652964659,0.17019896469618542,0.1656384587092127,-0.00034199280921271
SiC_10deg,10.0,7.455,1587.128,0.1659574643,0.1707242301682525,0.16616470879053113,-0.0002072444905311388
SiC_10deg,10.0,7.455,1590.021,0.1661166121,0.17118219832082948,0.16662353540364636,-0.0005069233036463505
SiC_10deg,10.0,7.455,1592.914,0.1664076808,0.17157187181044126,0.16701393933556452,-0.0006062585355645078
SiC_10deg,10.0,7.455,1595.806,0.1666798889,0.1718925637865882,0.1673352324482859,-0.0006553435482859193
SiC_10deg,10.0,7.455,1598.699,0.1664984254,0.17214431304139138,0.16758745360664737,-0.0010890282066473578
SiC_10deg,10.0,7.455,1601.592,0.16666057469999998,0.17232721242196147,0.1677706958318013,-0.0011101211318013116
SiC_10deg,10.0,7.455,1604.484,0.1664060967,0.17244184069576135,0.16788553897610922,-0.0014794422761092163
SiC_10deg,10.0,7.455,1607.377,0.1662788627,0.17248926532389974,0.16793305250163398,-0.0016541898016339818
SiC_10deg,10.0,7.455,1610.27,0.1657685929,0.17247079449335045,0.16791454704754363,-0.0021459541475436217
SiC_10deg,10.0,7.455,1613.162,0.1654002169,0.17238818630904207,0.16783178401433152,-0.002431567114331512
SiC_10deg,10.0,7.455,1616.055,0.16490292039999999,0.17224344735907104,0.16768677375144017,-0.0027838533514401853
SiC_10deg,10.0,7.455,1618.948,0.164674138,0.17203899044377702,0.16748193358199942,-0.0028077955819994227
SiC_10deg,10.0,7.455,1621.841,0.1643948545,0.17177752572798713,0.16721997875103584,-0.002825124251035843
SiC_10deg,10.0,7.455,1624.733,0.1641781964,0.17146217904445454,0.1669040409506709,-0.002725844550670903
SiC_10deg,10.0,7.455,1627.626,0.1639082356,0.17109601829807608,0.16653719383658402,-0.002628958236584017
SiC_10deg,10.0,7.455,1630.519,0.1637648177,0.17068268970139494,0.16612309045613774,-0.0023582727561377304
SiC_10deg,10.0,7.455,1633.411,0.16340204719999998,0.17022614302943845,0.16566568798820608,-0.002263640788206095
SiC_10deg,10.0,7.455,1636.304,0.1631585445,0.16973006274790714,0.1651686778050144,-0.0020101333050144
SiC_10deg,10.0,7.455,1639.197,0.1627975825,0.1691987941706679,0.16463641336571316,-0.0018388308657131536
SiC_10deg,10.0,7.455,1642.089,0.1624714465,0.16863690038499218,0.16407346631107328,-0.0016020198110732742
SiC_10deg,10.0,7.455,1644.982,0.1620072155,0.16804849961532567,0.16348396258514536,-0.0014767470851453635
SiC_10deg,10.0,7.455,1647.875,0.1610744099,0.16743840732137627,0.16287272667420843,-0.0017983167742084416
SiC_10deg,10.0,7.455,1650.768,0.16076283109999998,0.16681134110314927,0.16224448502140118,-0.0014816539214012048
SiC_10deg,10.0,7.455,1653.66,0.1602198571,0.1661723049631168,0.16160425100919,-0.0013843939091899848
SiC_10deg,10.0,7.455,1656.553,0.1599294512,0.16552567290390408,0.16095640683926069,-0.001026955639260696
SiC_10deg,10.0,7.455,1659.446,0.1594580367,0.16487648877428812,0.16030600581507645,-0.0008479691150764523
SiC_10deg,10.0,7.455,1662.338,0.1588048518,0.1642297786349018,0.1596580834186124,-0.0008532316186123934
SiC_10deg,10.0,7.455,1665.231,0.1580943897,0.16358984710856486,0.15901695234169663,-0.0009225626416966282
SiC_10deg,10.0,7.455,1668.124,0.1574940518,0.16296159283477768,0.158387520406321,-0.0008934686063210018
SiC_10deg,10.0,7.455,1671.016,0.156819118,0.1623497910466835,0.1577745717967954,-0.0009554537967954024
SiC_10deg,10.0,7.455,1673.909,0.1563582943,0.16175844907518816,0.1571821213557607,-0.0008238270557607008
SiC_10deg,10.0,7.455,1676.802,0.15594351010000002,0.16119205067036108,0.1566146612380684,-0.000671151138068371
