pass_id,variable_group,chosen_value,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,epi_nu_p_scale_boundary,sub_nu_p_scale_boundary,epi_gamma_scale_boundary,sub_gamma_scale_boundary,epi_gamma_l_scale_boundary,epi_gamma_t_scale_boundary,sub_gamma_l_scale_boundary,sub_gamma_t_scale_boundary,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
0,initial,,1.5,1.0,2.0,0.5,2.0,2.0,1.5,1.5,interior,interior,interior,interior,interior,interior,interior,interior,7.455,0.0017377158660416658,0.0019172947737205878,0.0005395669196658639
1,epi_nu_p_scale,1.625,1.625,1.0,2.0,0.5,2.0,2.0,1.5,1.5,interior,interior,interior,interior,interior,interior,interior,interior,7.46,0.0017376866159410516,0.0019106140402722536,0.0005259673106961466
1,sub_nu_p_scale,1.0,1.625,1.0,2.0,0.5,2.0,2.0,1.5,1.5,interior,interior,interior,interior,interior,interior,interior,interior,7.46,0.0017376866159410516,0.0019106140402722536,0.0005259673106961466
1,epi_gamma_scale,2.25,1.625,1.0,2.25,0.5,2.0,2.0,1.5,1.5,interior,interior,interior,interior,interior,interior,interior,interior,7.46,0.0017369417386195961,0.001909584991030796,0.0005255317223295446
1,sub_gamma_scale,0.25,1.625,1.0,2.25,0.25,2.0,2.0,1.5,1.5,interior,interior,interior,interior,interior,interior,interior,interior,7.45,0.0017272986218813864,0.001898438290272492,0.0005198832676121585
1,epi_phonon_scale,2.125,1.625,1.0,2.25,0.25,2.125,2.125,1.5,1.5,interior,interior,interior,interior,interior,interior,interior,interior,7.45,0.0017272053634370763,0.001897172220227351,0.0005160928416042914
1,sub_phonon_scale,1.75,1.625,1.0,2.25,0.25,2.125,2.125,1.75,1.75,interior,interior,interior,interior,interior,interior,interior,interior,7.46,0.001722723676921035,0.0018992434931484445,0.0005401997551701538
2,epi_nu_p_scale,1.75,1.75,1.0,2.25,0.25,2.125,2.125,1.75,1.75,upper,interior,interior,interior,interior,interior,interior,interior,7.465,0.0017219330469350146,0.0018931758640478194,0.0005271599462879535
2,sub_nu_p_scale,1.0,1.75,1.0,2.25,0.25,2.125,2.125,1.75,1.75,upper,interior,interior,interior,interior,interior,interior,interior,7.465,0.0017219330469350146,0.0018931758640478194,0.0005271599462879535
2,epi_gamma_scale,2.5,1.75,1.0,2.5,0.25,2.125,2.125,1.75,1.75,upper,interior,upper,interior,interior,interior,interior,interior,7.465,0.00172114454444838,0.001892046162240867,0.0005266397395048243
2,sub_gamma_scale,0.1,1.75,1.0,2.5,0.1,2.125,2.125,1.75,1.75,upper,interior,upper,lower,interior,interior,interior,interior,7.46,0.0017145331931073256,0.0018831564853986316,0.0005208612998334612
2,epi_phonon_scale,2.125,1.75,1.0,2.5,0.1,2.125,2.125,1.75,1.75,upper,interior,upper,lower,interior,interior,interior,interior,7.46,0.0017145331931073256,0.0018831564853986316,0.0005208612998334612
2,sub_phonon_scale,1.875,1.75,1.0,2.5,0.1,2.125,2.125,1.875,1.875,upper,interior,upper,lower,interior,interior,interior,interior,7.465,0.0017115197242072505,0.0018837492495133333,0.0005338788649200385
