stage,candidate_id,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,dataset,angle_deg,best_thickness_um,best_rmse
baseline,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.47,0.0011762870749310954
baseline,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.41,0.0019749489866142233
plasma,0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.54,0.00253449953152238
plasma,0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.47,0.002806011978827827
plasma,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.46,0.0011846213893105218
plasma,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4,0.002002749540305908
plasma,2,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.43,0.0037115000017834375
plasma,2,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.37,0.004401783375786996
plasma,3,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.41,0.005971976571338424
plasma,3,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.35,0.0066095797683178
plasma,4,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.55,0.0026076161399883674
plasma,4,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4799999999999995,0.0028710823482636463
plasma,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.47,0.0011762870749310954
plasma,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.41,0.0019749489866142233
plasma,6,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.4399999999999995,0.003611387403224555
plasma,6,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.37,0.0043051915693509
plasma,7,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.42,0.005908565041184268
