stage,candidate_id,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
baseline,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4399999999999995,0.0017822787260112212,0.0021660152685434673,0.0005426854228272626
plasma,0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.51,0.002726411325919641,0.002880035697861082,0.0002172576703106347
plasma,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4399999999999995,0.001798993648587642,0.002260901406192298,0.000653236215369849
plasma,2,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,7.4,0.004184340029482863,0.004514608591272174,0.0004670702793079002
plasma,3,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.38,0.006370433928853959,0.006684878822930496,0.00044469223382201004
plasma,4,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.52,0.0027912819332267915,0.002936640931137677,0.00020556866625853635
plasma,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4399999999999995,0.0017822787260112212,0.0021660152685434673,0.0005426854228272626
plasma,6,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,7.41,0.004088348600977041,0.004463527986795355,0.000530583775747067
plasma,7,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.38,0.006308496546734682,0.006600844123136777,0.00041344190747474673
plasma,8,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.54,0.0028932212038051707,0.0030337814094828345,0.00019878214919930384
plasma,9,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.45,0.0017722488833131367,0.0021437182740431555,0.000525337050376863
plasma,10,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,7.41,0.003931956150197211,0.004247161708178619,0.00044576797503268693
plasma,11,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.39,0.006201666068225252,0.006507899629861828,0.00043307965612026316
