epi_gamma_scale,sub_gamma_scale,dataset,angle_deg,best_thickness_um,best_rmse
0.5,0.5,SiC_10deg,10.0,7.46,0.0011757901728828891
0.5,0.5,SiC_15deg,15.0,7.4,0.001975116796440677
0.5,1.0,SiC_10deg,10.0,7.46,0.001202653370574195
0.5,1.0,SiC_15deg,15.0,7.4,0.001979401060747039
0.5,1.5,SiC_10deg,10.0,7.48,0.0012025596218465892
0.5,1.5,SiC_15deg,15.0,7.42,0.001976087732738751
0.5,2.0,SiC_10deg,10.0,7.5,0.0012366367656944258
0.5,2.0,SiC_15deg,15.0,7.44,0.0019909133927250473
1.0,0.5,SiC_10deg,10.0,7.46,0.0011752524318644462
1.0,0.5,SiC_15deg,15.0,7.4,0.0019742628599755205
1.0,1.0,SiC_10deg,10.0,7.46,0.001201291470442635
1.0,1.0,SiC_15deg,15.0,7.4,0.001978020470265392
1.0,1.5,SiC_10deg,10.0,7.48,0.0012013131520946388
1.0,1.5,SiC_15deg,15.0,7.42,0.0019747556037913758
1.0,2.0,SiC_10deg,10.0,7.5,0.0012356953449536355
1.0,2.0,SiC_15deg,15.0,7.44,0.001989748947840329
1.5,0.5,SiC_10deg,10.0,7.46,0.0011747469503312453
1.5,0.5,SiC_15deg,15.0,7.4,0.001973446276283208
1.5,1.0,SiC_10deg,10.0,7.46,0.0011999265665172312
1.5,1.0,SiC_15deg,15.0,7.4,0.0019766569738325296
1.5,1.5,SiC_10deg,10.0,7.48,0.0012000612606073967
1.5,1.5,SiC_15deg,15.0,7.42,0.0019734391306523683
1.5,2.0,SiC_10deg,10.0,7.5,0.0012347476406020228
1.5,2.0,SiC_15deg,15.0,7.44,0.0019885989067713644
2.0,0.5,SiC_10deg,10.0,7.46,0.0011742755776392565
2.0,0.5,SiC_15deg,15.0,7.4,0.001972669129033212
2.0,1.0,SiC_10deg,10.0,7.46,0.001198562164071725
2.0,1.0,SiC_15deg,15.0,7.4,0.0019753137013275696
2.0,1.5,SiC_10deg,10.0,7.48,0.0011988074933162553
2.0,1.5,SiC_15deg,15.0,7.42,0.0019721414997845373
2.0,2.0,SiC_10deg,10.0,7.5,0.0012337968014274924
2.0,2.0,SiC_15deg,15.0,7.44,0.0019874662523969465
