epi_gamma_scale,sub_gamma_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
0.5,0.5,7.44,0.001781632743196985,0.002332603698182585,0.0007791905970142915
0.5,1.0,7.44,0.0017815754483184276,0.00216419407010576,0.0005411044441481474
0.5,1.5,7.46,0.0017919941143933445,0.0022484477758076917,0.0006455229585670266
0.5,2.0,7.46,0.0018181779478925453,0.0021162941448869955,0.0004215999689526408
1.0,0.5,7.44,0.0017809615880542097,0.0023325281551123955,0.0007800329196852555
1.0,1.0,7.44,0.0017803831406473928,0.0021636570550467313,0.0005420311678473693
1.0,1.5,7.46,0.001790825787965107,0.002247901511700651,0.0006464026875383044
1.0,2.0,7.46,0.0018168368896133917,0.0021155172475614227,0.00042239781302455596
1.5,0.5,7.44,0.0017803263508262494,0.0023325259956148217,0.0007809282267976046
1.5,1.0,7.44,0.0017792058848141285,0.0021631785659124866,0.0005430193731900574
1.5,1.5,7.46,0.0017896690774069678,0.0022474130339744914,0.0006473477114721127
1.5,2.0,7.46,0.0018154862239985524,0.0021147773478685334,0.00042326156647481316
2.0,0.5,7.44,0.0017797287744852515,0.0023325976782312147,0.0007818747018918865
2.0,1.0,7.44,0.0017780464543098746,0.0021627601170300472,0.0005440672794490966
2.0,1.5,7.46,0.0017885268731323944,0.002246983893294,0.0006483561356776983
2.0,2.0,7.46,0.0018141292088245105,0.0021140766124097153,0.0004241896861487929
