pass_id,variable_group,candidate_value,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse,chosen
0,initial,,1.5,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.455,0.0017377158660416658,0.0019172947737205878,0.0005395669196658639,True
1,epi_nu_p_scale,1.25,1.25,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.45,0.0017450714222383376,0.0019348611491229112,0.0005606539556575541,False
1,epi_nu_p_scale,1.375,1.375,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.455,0.0017401130677299603,0.001924922907140776,0.0005505466955793183,False
1,epi_nu_p_scale,1.5,1.5,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.455,0.0017377158660416658,0.0019172947737205878,0.0005395669196658639,False
1,epi_nu_p_scale,1.625,1.625,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.46,0.0017376866159410516,0.0019106140402722536,0.0005259673106961466,True
1,epi_nu_p_scale,1.75,1.75,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.46,0.001741276347027692,0.0019071037501556737,0.0005103265865392886,False
1,sub_nu_p_scale,0.75,1.625,0.75,2.0,0.5,2.0,2.0,1.5,1.5,7.495,0.0021720009435894257,0.0022572446185668256,0.0002679739344587057,False
1,sub_nu_p_scale,0.875,1.625,0.875,2.0,0.5,2.0,2.0,1.5,1.5,7.475,0.001876058390032051,0.00199263745537251,0.0003759867681517524,False
1,sub_nu_p_scale,1.0,1.625,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.46,0.0017376866159410516,0.0019106140402722536,0.0005259673106961466,True
1,sub_nu_p_scale,1.125,1.625,1.125,2.0,0.5,2.0,2.0,1.5,1.5,7.445,0.0019373843890886097,0.00215015510182976,0.0005974209642501738,False
1,sub_nu_p_scale,1.25,1.625,1.25,2.0,0.5,2.0,2.0,1.5,1.5,7.43,0.002453159096463386,0.0026705667659208954,0.0005707991263441019,False
1,epi_gamma_scale,1.75,1.625,1.0,1.75,0.5,2.0,2.0,1.5,1.5,7.46,0.0017384446545472168,0.0019116587093750065,0.0005264072769545738,False
1,epi_gamma_scale,1.875,1.625,1.0,1.875,0.5,2.0,2.0,1.5,1.5,7.46,0.001738064016951831,0.0019111344586459525,0.000526186752509018,False
1,epi_gamma_scale,2.0,1.625,1.0,2.0,0.5,2.0,2.0,1.5,1.5,7.46,0.0017376866159410516,0.0019106140402722536,0.0005259673106961466,False
1,epi_gamma_scale,2.125,1.625,1.0,2.125,0.5,2.0,2.0,1.5,1.5,7.46,0.0017373125053869883,0.0019100975270164014,0.0005257489634110612,False
1,epi_gamma_scale,2.25,1.625,1.0,2.25,0.5,2.0,2.0,1.5,1.5,7.46,0.0017369417386195961,0.001909584991030796,0.0005255317223295446,True
1,sub_gamma_scale,0.25,1.625,1.0,2.25,0.25,2.0,2.0,1.5,1.5,7.45,0.0017272986218813864,0.001898438290272492,0.0005198832676121585,True
1,sub_gamma_scale,0.375,1.625,1.0,2.25,0.375,2.0,2.0,1.5,1.5,7.455,0.001731029056278007,0.0019044746263842626,0.0005244805717660668,False
1,sub_gamma_scale,0.5,1.625,1.0,2.25,0.5,2.0,2.0,1.5,1.5,7.46,0.0017369417386195961,0.001909584991030796,0.0005255317223295446,False
1,sub_gamma_scale,0.625,1.625,1.0,2.25,0.625,2.0,2.0,1.5,1.5,7.46,0.0017444458450585234,0.001916381749579164,0.0005255275575215373,False
1,sub_gamma_scale,0.75,1.625,1.0,2.25,0.75,2.0,2.0,1.5,1.5,7.465,0.0017516783825832795,0.0019244297847496538,0.000526652160614755,False
1,epi_phonon_scale,1.75,1.625,1.0,2.25,0.25,1.75,1.75,1.5,1.5,7.455,0.0017278179867626742,0.0019023957181889858,0.0005283272608397553,False
1,epi_phonon_scale,1.875,1.625,1.0,2.25,0.25,1.875,1.875,1.5,1.5,7.455,0.0017277258791819378,0.001900177811059507,0.0005236264146235134,False
1,epi_phonon_scale,2.0,1.625,1.0,2.25,0.25,2.0,2.0,1.5,1.5,7.45,0.0017272986218813864,0.001898438290272492,0.0005198832676121585,False
1,epi_phonon_scale,2.125,1.625,1.0,2.25,0.25,2.125,2.125,1.5,1.5,7.45,0.0017272053634370763,0.001897172220227351,0.0005160928416042914,True
1,epi_phonon_scale,2.25,1.625,1.0,2.25,0.25,2.25,2.25,1.5,1.5,7.45,0.0017276044216106541,0.0018963742752395414,0.0005121723275344188,False
1,sub_phonon_scale,1.25,1.625,1.0,2.25,0.25,2.125,2.125,1.25,1.25,7.44,0.0017431172539317493,0.0019058410955155706,0.000491462092920645,False
1,sub_phonon_scale,1.375,1.625,1.0,2.25,0.25,2.125,2.125,1.375,1.375,7.445,0.001733964476300958,0.0019008390917483028,0.0005040380157359231,False
1,sub_phonon_scale,1.5,1.625,1.0,2.25,0.25,2.125,2.125,1.5,1.5,7.45,0.0017272053634370763,0.001897172220227351,0.0005160928416042914,False
1,sub_phonon_scale,1.625,1.625,1.0,2.25,0.25,2.125,2.125,1.625,1.625,7.455,0.0017233012267335274,0.001896499900048828,0.0005282482459468674,False
1,sub_phonon_scale,1.75,1.625,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.46,0.001722723676921035,0.0018992434931484445,0.0005401997551701538,True
2,epi_nu_p_scale,1.375,1.375,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.455,0.0017312057731237586,0.0019193302414787687,0.0005634606009671887,False
2,epi_nu_p_scale,1.5,1.5,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.46,0.001724815419991684,0.0019086357180348274,0.0005535968165535421,False
2,epi_nu_p_scale,1.625,1.625,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.46,0.001722723676921035,0.0018992434931484445,0.0005401997551701538,False
2,epi_nu_p_scale,1.75,1.75,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.465,0.0017219330469350146,0.0018931758640478194,0.0005271599462879535,True
2,epi_nu_p_scale,1.875,1.875,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.47,0.0017262235789169637,0.0018886878495461494,0.0005097063001261147,False
2,sub_nu_p_scale,0.75,1.75,0.75,2.25,0.25,2.125,2.125,1.75,1.75,7.505,0.002123141754837665,0.0022074364900368207,0.0002772512945697123,False
2,sub_nu_p_scale,0.875,1.75,0.875,2.25,0.25,2.125,2.125,1.75,1.75,7.48,0.0018552808438619581,0.0019700767949011994,0.00038115147722289736,False
2,sub_nu_p_scale,1.0,1.75,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.465,0.0017219330469350146,0.0018931758640478194,0.0005271599462879535,True
2,sub_nu_p_scale,1.125,1.75,1.125,2.25,0.25,2.125,2.125,1.75,1.75,7.45,0.001905736551453444,0.002117173641984493,0.0006000110068778366,False
2,sub_nu_p_scale,1.25,1.75,1.25,2.25,0.25,2.125,2.125,1.75,1.75,7.435,0.0024048528046237676,0.0026235923262638056,0.0005753836564797429,False
2,epi_gamma_scale,2.0,1.75,1.0,2.0,0.25,2.125,2.125,1.75,1.75,7.465,0.0017227381441944863,0.0018943248379896082,0.0005276848827349633,False
2,epi_gamma_scale,2.125,1.75,1.0,2.125,0.25,2.125,2.125,1.75,1.75,7.465,0.0017223335464925246,0.001893747978967336,0.0005274218308612988,False
2,epi_gamma_scale,2.25,1.75,1.0,2.25,0.25,2.125,2.125,1.75,1.75,7.465,0.0017219330469350146,0.0018931758640478194,0.0005271599462879535,False
2,epi_gamma_scale,2.375,1.75,1.0,2.375,0.25,2.125,2.125,1.75,1.75,7.465,0.001721536696231431,0.0018926085673419161,0.0005268992441952279,False
2,epi_gamma_scale,2.5,1.75,1.0,2.5,0.25,2.125,2.125,1.75,1.75,7.465,0.00172114454444838,0.001892046162240867,0.0005266397395048243,True
2,sub_gamma_scale,0.1,1.75,1.0,2.5,0.1,2.125,2.125,1.75,1.75,7.46,0.0017145331931073256,0.0018831564853986316,0.0005208612998334612,True
2,sub_gamma_scale,0.125,1.75,1.0,2.5,0.125,2.125,2.125,1.75,1.75,7.46,0.0017157469037463267,0.0018841426315226516,0.0005213326764245805,False
2,sub_gamma_scale,0.25,1.75,1.0,2.5,0.25,2.125,2.125,1.75,1.75,7.465,0.00172114454444838,0.001892046162240867,0.0005266397395048243,False
2,sub_gamma_scale,0.375,1.75,1.0,2.5,0.375,2.125,2.125,1.75,1.75,7.47,0.0017293745139905436,0.001900002764760805,0.0005283402153724374,False
