mode,dataset,angle_deg,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,best_thickness_um,best_rmse
layer_shared_scale,SiC_10deg,10.0,0.5,0.5,0.5,0.5,7.44,0.0012005822005731978
layer_shared_scale,SiC_15deg,15.0,0.5,0.5,0.5,0.5,7.38,0.00195350778428535
layer_shared_scale,SiC_10deg,10.0,0.5,0.5,1.0,1.0,7.48,0.0012139472562533165
layer_shared_scale,SiC_15deg,15.0,0.5,0.5,1.0,1.0,7.4,0.002013882926313366
layer_shared_scale,SiC_10deg,10.0,0.5,0.5,1.5,1.5,7.5,0.0013028247860921226
layer_shared_scale,SiC_15deg,15.0,0.5,0.5,1.5,1.5,7.42,0.002119138156229139
layer_shared_scale,SiC_10deg,10.0,0.5,0.5,2.0,2.0,7.5,0.001472364591469496
layer_shared_scale,SiC_15deg,15.0,0.5,0.5,2.0,2.0,7.44,0.0022820825094789724
layer_shared_scale,SiC_10deg,10.0,1.0,1.0,0.5,0.5,7.44,0.0011941763604730877
layer_shared_scale,SiC_15deg,15.0,1.0,1.0,0.5,0.5,7.38,0.00193478135459673
layer_shared_scale,SiC_10deg,10.0,1.0,1.0,1.0,1.0,7.46,0.001201291470442635
layer_shared_scale,SiC_15deg,15.0,1.0,1.0,1.0,1.0,7.4,0.001978020470265392
layer_shared_scale,SiC_10deg,10.0,1.0,1.0,1.5,1.5,7.48,0.001259030240035181
layer_shared_scale,SiC_15deg,15.0,1.0,1.0,1.5,1.5,7.42,0.00206575602273429
layer_shared_scale,SiC_10deg,10.0,1.0,1.0,2.0,2.0,7.5,0.001395204098384327
layer_shared_scale,SiC_15deg,15.0,1.0,1.0,2.0,2.0,7.44,0.002212740567294474
layer_shared_scale,SiC_10deg,10.0,1.5,1.5,0.5,0.5,7.44,0.0011986919196881572
layer_shared_scale,SiC_15deg,15.0,1.5,1.5,0.5,0.5,7.38,0.001923586245330448
layer_shared_scale,SiC_10deg,10.0,1.5,1.5,1.0,1.0,7.46,0.0011829263286998104
layer_shared_scale,SiC_15deg,15.0,1.5,1.5,1.0,1.0,7.4,0.0019500500361006217
layer_shared_scale,SiC_10deg,10.0,1.5,1.5,1.5,1.5,7.48,0.0012146878236462366
layer_shared_scale,SiC_15deg,15.0,1.5,1.5,1.5,1.5,7.42,0.0020199247304755435
layer_shared_scale,SiC_10deg,10.0,1.5,1.5,2.0,2.0,7.5,0.0013268997212357767
layer_shared_scale,SiC_15deg,15.0,1.5,1.5,2.0,2.0,7.44,0.0021500182859849446
layer_shared_scale,SiC_10deg,10.0,2.0,2.0,0.5,0.5,7.44,0.0012133651300789017
layer_shared_scale,SiC_15deg,15.0,2.0,2.0,0.5,0.5,7.38,0.0019196467783404762
layer_shared_scale,SiC_10deg,10.0,2.0,2.0,1.0,1.0,7.46,0.0011763935535332513
layer_shared_scale,SiC_15deg,15.0,2.0,2.0,1.0,1.0,7.4,0.0019299438321273834
layer_shared_scale,SiC_10deg,10.0,2.0,2.0,1.5,1.5,7.48,0.0011821370068202952
layer_shared_scale,SiC_15deg,15.0,2.0,2.0,1.5,1.5,7.42,0.001981864258409972
layer_shared_scale,SiC_10deg,10.0,2.0,2.0,2.0,2.0,7.5,0.0012684664270251644
layer_shared_scale,SiC_15deg,15.0,2.0,2.0,2.0,2.0,7.44,0.0020942948848869138
lt_shared_scale,SiC_10deg,10.0,0.5,0.5,0.5,0.5,7.44,0.0012005822005731978
lt_shared_scale,SiC_15deg,15.0,0.5,0.5,0.5,0.5,7.38,0.00195350778428535
lt_shared_scale,SiC_10deg,10.0,0.5,1.0,0.5,1.0,7.44,0.001188518628998715
lt_shared_scale,SiC_15deg,15.0,0.5,1.0,0.5,1.0,7.38,0.0019498894155325157
lt_shared_scale,SiC_10deg,10.0,0.5,1.5,0.5,1.5,7.44,0.0011905664220552296
lt_shared_scale,SiC_15deg,15.0,0.5,1.5,0.5,1.5,7.38,0.0019559442787618697
lt_shared_scale,SiC_10deg,10.0,0.5,2.0,0.5,2.0,7.44,0.0012076944743085007
lt_shared_scale,SiC_15deg,15.0,0.5,2.0,0.5,2.0,7.36,0.0019659809300318688
lt_shared_scale,SiC_10deg,10.0,1.0,0.5,1.0,0.5,7.48,0.0011850359490100809
lt_shared_scale,SiC_15deg,15.0,1.0,0.5,1.0,0.5,7.42,0.001987134504519256
lt_shared_scale,SiC_10deg,10.0,1.0,1.0,1.0,1.0,7.46,0.001201291470442635
