mode,design_note,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,0.5,0.5,0.5,0.5,7.42,0.0017626379273294618,0.002146435142963771,0.0005427712275510714
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,0.5,0.5,1.0,1.0,7.44,0.0018093563322709597,0.002170065019825267,0.0005101191180051006
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,0.5,0.5,1.5,1.5,7.46,0.0019091049082713722,0.0022889841992446477,0.0005372304453590815
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,0.5,0.5,2.0,2.0,7.48,0.002076794936570249,0.0025124392687565686,0.000616094122948863
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.0,1.0,0.5,0.5,7.42,0.001752234394928869,0.0021600789199070314,0.0005767792585637297
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.0,1.0,1.0,1.0,7.44,0.0017803831406473928,0.0021636570550467313,0.0005420311678473693
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.0,1.0,1.5,1.5,7.46,0.0018601582335342898,0.002260300996280041,0.0005658873219604809
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.0,1.0,2.0,2.0,7.48,0.0020092435111042297,0.0024630264716431747,0.0006417460171679911
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.5,1.5,0.5,0.5,7.42,0.0017496592549439227,0.0021799401254200762,0.0006085090426570773
layer_shared_scale,外延层与衬底分别缩放，且每层内 $\Gamma_L$ 与 $\Gamma_T$ 同比例缩放。,1.5,1.5,1.0,1.0,7.44,0.0017597547811110423,0.002164666182604462,0.0005726311955514915
