epi_plasma_scale,sub_plasma_scale,dataset,angle_deg,best_thickness_um,best_rmse
0.0,0.0,SiC_10deg,10.0,7.6000000000000005,0.002989100764239061
0.0,0.0,SiC_15deg,15.0,7.54,0.0032347208827484737
0.0,0.5,SiC_10deg,10.0,7.54,0.0025101300424026363
0.0,0.5,SiC_15deg,15.0,7.46,0.0027917561981793647
0.0,1.0,SiC_10deg,10.0,7.46,0.00118715627285253
0.0,1.0,SiC_15deg,15.0,7.4,0.002013165249834488
0.0,1.5,SiC_10deg,10.0,7.44,0.003751165766631586
0.0,1.5,SiC_15deg,15.0,7.36,0.0044418735288283715
0.0,2.0,SiC_10deg,10.0,7.42,0.005992292176294117
0.0,2.0,SiC_15deg,15.0,7.34,0.006637268537845578
0.5,0.0,SiC_10deg,10.0,7.62,0.0029989085492299937
0.5,0.0,SiC_15deg,15.0,7.5600000000000005,0.003246890831686428
0.5,0.5,SiC_10deg,10.0,7.54,0.0025329857890650613
0.5,0.5,SiC_15deg,15.0,7.48,0.002810721652341975
0.5,1.0,SiC_10deg,10.0,7.46,0.001185314891185893
0.5,1.0,SiC_15deg,15.0,7.4,0.0020010349748356884
0.5,1.5,SiC_10deg,10.0,7.44,0.003714085686329145
0.5,1.5,SiC_15deg,15.0,7.36,0.004411961040170989
0.5,2.0,SiC_10deg,10.0,7.42,0.005968966288389598
0.5,2.0,SiC_15deg,15.0,7.36,0.0066171159007673164
1.0,0.0,SiC_10deg,10.0,7.62,0.0030286589998613574
1.0,0.0,SiC_15deg,15.0,7.5600000000000005,0.0032721938955093187
1.0,0.5,SiC_10deg,10.0,7.54,0.0026079247635640347
1.0,0.5,SiC_15deg,15.0,7.48,0.0028740594008577714
1.0,1.0,SiC_10deg,10.0,7.46,0.001201291470442635
1.0,1.0,SiC_15deg,15.0,7.4,0.001978020470265392
1.0,1.5,SiC_10deg,10.0,7.44,0.0036074659120582564
1.0,1.5,SiC_15deg,15.0,7.38,0.004305601368766434
1.0,2.0,SiC_10deg,10.0,7.42,0.005900961329900137
1.0,2.0,SiC_15deg,15.0,7.36,0.006546027665111118
1.5,0.0,SiC_10deg,10.0,7.66,0.003063302901700058
1.5,0.0,SiC_15deg,15.0,7.6000000000000005,0.0033081750921788245
1.5,0.5,SiC_10deg,10.0,7.5600000000000005,0.002719903614257825
1.5,0.5,SiC_15deg,15.0,7.5,0.0029753326331176297
1.5,1.0,SiC_10deg,10.0,7.48,0.0012065493838146894
1.5,1.0,SiC_15deg,15.0,7.42,0.001948122824117504
1.5,1.5,SiC_10deg,10.0,7.44,0.0034462274086766212
1.5,1.5,SiC_15deg,15.0,7.38,0.004140340518050845
1.5,2.0,SiC_10deg,10.0,7.42,0.005794559849396606
1.5,2.0,SiC_15deg,15.0,7.36,0.006433850960919893
2.0,0.0,SiC_10deg,10.0,7.68,0.0030937310071850145
2.0,0.0,SiC_15deg,15.0,7.62,0.003335129551260441
2.0,0.5,SiC_10deg,10.0,7.6000000000000005,0.0028547968605458014
2.0,0.5,SiC_15deg,15.0,7.54,0.0031026321366785592
2.0,1.0,SiC_10deg,10.0,7.5,0.0013232451146587523
2.0,1.0,SiC_15deg,15.0,7.42,0.001962934217661872
2.0,1.5,SiC_10deg,10.0,7.46,0.003226466607020459
2.0,1.5,SiC_15deg,15.0,7.4,0.003931157402241879
2.0,2.0,SiC_10deg,10.0,7.44,0.005649673695296756
2.0,2.0,SiC_15deg,15.0,7.38,0.006289475772757091
