replicate,best_thickness_um,joint_mean_rmse,joint_max_rmse
0,7.465,0.0013819277523658114,0.0017837167941476572
1,7.46,0.001489439678053281,0.00184787022605623
2,7.45,0.0013534810804139577,0.001698680472282057
3,7.455,0.001273664083641892,0.0017748637435797837
4,7.455,0.0013550963093290755,0.00175922107032695
5,7.455,0.0013666435736822413,0.0017769721649684067
6,7.455,0.0014999235513352286,0.002123867267200729
7,7.46,0.001334818328292854,0.001747724597332605
8,7.45,0.0016054659500606156,0.0021297243875157976
9,7.46,0.0014520661614756717,0.0019301460076234227
10,7.455,0.0017182956297013235,0.0021749838782003394
11,7.455,0.0014676133355263788,0.0016371501609857278
12,7.455,0.0015606147328891453,0.0020645293160321703
13,7.45,0.0014199903561353065,0.001861702049740991
14,7.46,0.0015203648039915885,0.001906812583793763
15,7.46,0.0013589102319136845,0.001737298547904857
16,7.455,0.0018147019328628889,0.00224776475331219
17,7.46,0.0013845236375481756,0.001803331683312048
18,7.445,0.00139806206888115,0.0016571844795543803
19,7.45,0.001566658807312351,0.0018392391411345924
20,7.45,0.0014467143760156422,0.00182677515369052
21,7.45,0.001626336104346464,0.002141205155411813
22,7.46,0.0017374724155234706,0.002173985368283694
23,7.45,0.0014568183908652689,0.0016967684437262259
24,7.455,0.0013085991703207067,0.001711150866704062
25,7.46,0.0016700405928718068,0.0021504495352485838
26,7.45,0.001478433713592676,0.0019864283248031446
27,7.46,0.0014596192580358445,0.0019704376797264654
28,7.45,0.001320443883138078,0.001634905415870912
29,7.445,0.0013632393299280539,0.0018319802937055267
30,7.445,0.001488436209564328,0.002147386192191327
31,7.455,0.0012277953477279138,0.0016750320398785051
32,7.45,0.001464227324010428,0.0018645883377014102
33,7.45,0.0013464637482867188,0.0016410785016110212
34,7.455,0.0014942022340991054,0.002004275460038405
35,7.455,0.0013860120450634682,0.0018958081305575085
36,7.455,0.0014671562567568114,0.0019510360911715733
37,7.465,0.0013679431548649372,0.0017358998576718697
38,7.45,0.001362681102153272,0.0018147601929251217
39,7.46,0.001502384766625607,0.0019381366620090338
40,7.465,0.0016018384513000216,0.0020235728038900404
41,7.455,0.0014553774703221912,0.0019181095439860252
42,7.45,0.0015083050584245956,0.001625109148387748
43,7.455,0.001324193914203661,0.001816147563082207
44,7.45,0.0015545712186811433,0.0020710006684869797
45,7.46,0.0013560978016917147,0.0016954639959423194
46,7.47,0.001378701613841155,0.0017741649355005023
47,7.45,0.0012266892970942622,0.0013894239537719632
48,7.45,0.0014488698794278658,0.0019503075844996914
49,7.455,0.0013784200447737142,0.0018071325170709953
50,7.46,0.0015955220871088382,0.001836927783428214
51,7.455,0.0013671973006896452,0.0018448107897469606
52,7.45,0.0016823912224579658,0.002200398480866551
53,7.445,0.0016833131146732467,0.0020614527895926396
54,7.455,0.0014342540852672206,0.001942517388149712
55,7.455,0.0014557120696035647,0.0018605422804011766
56,7.455,0.0014454713998746235,0.001954749337031191
57,7.445,0.0015755511519644518,0.0017969134883574398
58,7.45,0.0016813053903925468,0.001805945079133709
59,7.44,0.0013725991184449808,0.0018718067609198284
60,7.445,0.0015702181884169365,0.002103086395928196
61,7.46,0.0014241473056450281,0.0017559440880515525
62,7.455,0.0014816886483369276,0.0018802930512679852
63,7.455,0.0012807340862194037,0.001606263231439179
64,7.455,0.001518417503940544,0.001924511242674363
65,7.455,0.0014244114625542982,0.0019354983085646492
66,7.47,0.0016778143995323917,0.0021785506281453005
67,7.455,0.0014226421876965423,0.0016292175211863212
68,7.46,0.0016335443922550854,0.0022499967718314167
69,7.45,0.0013881973247072163,0.0017813307439507582
70,7.445,0.0014332588322140056,0.001968012090360744
71,7.46,0.001385213042061041,0.0018189829409772566
72,7.46,0.0014158235441545054,0.0018000188816813772
73,7.455,0.0013495562680840994,0.001778911546700947
74,7.46,0.0014284603957716666,0.0019504500146942099
75,7.455,0.001589068368813598,0.0020713045225692617
76,7.46,0.0014669523450413606,0.0019076392730985475
77,7.465,0.0016095870775275933,0.0020230569929324074
78,7.455,0.001567709965556698,0.0020604794344494387
79,7.45,0.0015679347594383,0.002206687072444272
80,7.45,0.001799977602052946,0.002035785631251159
81,7.45,0.0013650080185271735,0.0017395229359050439
82,7.465,0.001463266136566482,0.0018506219323793185
83,7.45,0.001650899825145572,0.002086997561582592
84,7.455,0.0016075345713482754,0.002179556556663703
85,7.455,0.0014911531098444775,0.0018630187817969281
86,7.46,0.0015149214126201666,0.0019873795594948515
87,7.445,0.0013726302066024811,0.0014211418563652143
88,7.455,0.0014062815374473944,0.0018653448268907099
89,7.455,0.0013219692678599208,0.0016311267058865292
90,7.455,0.0016822126368931409,0.002043316477608035
91,7.445,0.0014276827732387794,0.0019161898278116233
92,7.46,0.0014127647437042745,0.0019530075050484509
93,7.445,0.0016767607421105315,0.0020793772874336466
94,7.445,0.0014010992095793687,0.0019435573549597637
95,7.45,0.0014136564051222718,0.0018350021222941996
96,7.465,0.0014261546028548654,0.002014263572987406
97,7.46,0.001514224851768572,0.002028340783255197
98,7.465,0.0014947840420756254,0.0018830097162032113
99,7.45,0.0015688914748625605,0.002112395869535187
100,7.46,0.001704825761883254,0.0023047689560404677
101,7.455,0.001399105986298244,0.0019788862424502535
102,7.45,0.0014670517164543939,0.0019789613798392937
103,7.45,0.0013133003696353008,0.0016064593586113958
104,7.44,0.001448278424786727,0.001951172543851681
105,7.455,0.0014745906206176645,0.0020043207267327993
106,7.455,0.0015998082667521302,0.0018454712054985472
107,7.475,0.0013688453221367943,0.0017246364659385931
108,7.45,0.0016322857615772355,0.0019478611390057064
109,7.44,0.0014624730978320157,0.0018453301012563922
110,7.445,0.0013745043918410261,0.0018864033114759187
111,7.455,0.0013343587432117542,0.0017945312601470487
112,7.45,0.0014666530946052074,0.002001425704889817
113,7.45,0.0013004188822393372,0.0016339234088040275
114,7.455,0.001926874673004452,0.002242115221384413
115,7.45,0.0015198463853531503,0.0017614568511819014
116,7.46,0.0013756071193648356,0.0017584016200637143
117,7.455,0.0016576699292620515,0.002323317755747686
118,7.45,0.0013395123136850627,0.0015407847247198801
119,7.45,0.0013520189403017121,0.0016252006994693302
