dataset,angle_deg,thickness_um,rmse,affine_scale,affine_offset
SiC_10deg,10.0,7.2,0.005472651454664228,0.7545519242045143,0.04001508804605611
SiC_15deg,15.0,7.2,0.00508624626967166,0.9004764793805726,0.021649701745871247
joint,,7.2,0.005279448862167944,,
SiC_10deg,10.0,7.205,0.005423141072320493,0.7590117722658052,0.03920564865959833
SiC_15deg,15.0,7.205,0.005015915562398808,0.9053043857111481,0.02077337644037311
joint,,7.205,0.00521952831735965,,
SiC_10deg,10.0,7.21,0.0053720553296634855,0.7635632346969202,0.038379540881402
SiC_15deg,15.0,7.21,0.0049441525001171415,0.9101593323779863,0.019892009997297233
joint,,7.21,0.0051581039148903135,,
SiC_10deg,10.0,7.215,0.0053193821745538385,0.7682034239622252,0.03753729121899069
SiC_15deg,15.0,7.215,0.004870979164790517,0.915036889579033,0.019006408787355822
joint,,7.215,0.005095180669672178,,
SiC_10deg,10.0,7.22,0.005265110426751284,0.7729293120493039,0.036679451819634445
SiC_15deg,15.0,7.22,0.004796420573093113,0.9199325818125593,0.018117387861180834
joint,,7.22,0.005030765499922199,,
SiC_10deg,10.0,7.225,0.0052092298527283126,0.7777377279374532,0.03580660091853785
SiC_15deg,15.0,7.225,0.0047205048803398006,0.9248418900988387,0.017225770532828755
joint,,7.225,0.004964867366534056,,
SiC_10deg,10.0,7.23,0.005151731245551013,0.7826253549540578,0.03491934330605695
SiC_15deg,15.0,7.23,0.004643263608388633,0.9297602537203833,0.016332388048223817
joint,,7.23,0.004897497426969823,,
SiC_10deg,10.0,7.235,0.005092606510072483,0.7875887280624261,0.03401831080605833
SiC_15deg,15.0,7.235,0.004564731900808252,0.9346830715133163,0.015438079332699278
joint,,7.235,0.004828669205440367,,
SiC_10deg,10.0,7.24,0.005031848753708269,0.7926242311298883,0.03310416275659675
SiC_15deg,15.0,7.24,0.004484948809050677,0.939605702752008,0.014543690810080168
joint,,7.24,0.004758398781379473,,
SiC_10deg,10.0,7.245,0.004969452383095601,0.797728094229655,0.03217758648324659
SiC_15deg,15.0,7.245,0.004403957613887254,0.9445234676780984,0.01365007628413975
joint,,7.245,0.004686704998491428,,
SiC_10deg,10.0,7.25,0.004905413206979565,0.8028963910341521,0.03123929775466583
SiC_15deg,15.0,7.25,0.004321806186959985,0.9494316477333221,0.012758096871773233
joint,,7.25,0.004613609696969775,,
SiC_10deg,10.0,7.255,0.004839728545723487,0.8081250363610657,0.030290041209345198
SiC_15deg,15.0,7.255,0.004238547397983625,0.9543254855629678,0.011868620975903271
joint,,7.255,0.004539137971853556,,
SiC_10deg,10.0,7.26,0.004772397347909742,0.8134097839362009,0.029330590741983242
SiC_15deg,15.0,7.26,0.0041542395739142595,0.9592001848632418,0.010982524284976786
joint,,7.26,0.004463318460912,,
SiC_10deg,10.0,7.265,0.004703420314585045,0.8187462244393409,0.028361749837559902
SiC_15deg,15.0,7.265,0.004068947017285761,0.9640509101512135,0.010100689784947214
joint,,7.265,0.004386183665935403,,
SiC_10deg,10.0,7.27,0.004632800031814937,0.8241297839005562,0.027384351840962967
SiC_15deg,15.0,7.27,0.003982740591911295,0.9688727865401746,0.00922400776889043
joint,,7.27,0.004307770311863116,,
SiC_10deg,10.0,7.275,0.0045605411123511965,0.8295557225148478,0.026399260149951143
SiC_15deg,15.0,7.275,0.003895698385251793,0.9736608996062386,0.008353375828872855
joint,,7.275,0.004228119748801495,,
SiC_10deg,10.0,7.28,0.004486650347389898,0.8350191339424674,0.025407368319345286
SiC_15deg,15.0,7.28,0.0038079064579566355,0.9784102954336424,0.007489698814398704
joint,,7.28,0.004147278402673267,,
SiC_10deg,10.0,7.285,0.004411136869613845,0.8405149451608851,0.024409600064598275
SiC_15deg,15.0,7.285,0.003719459692357271,0.9831159809265401,0.006633888741714333
joint,,7.285,0.004065298280985558,,
SiC_10deg,10.0,7.29,0.004334012328982454,0.8460379169319437,0.023406909153342453
SiC_15deg,15.0,7.29,0.003630462752993538,0.9877729244740133,0.005786864638443356
joint,,7.29,0.003982237540987996,,
SiC_10deg,10.0,7.295,0.004255291083064891,0.8515826449444565,0.02240027917411877
SiC_15deg,15.0,7.295,0.0035410311734884624,0.9923760570526214,0.004949552308469052
joint,,7.295,0.003898161128276677,,
SiC_10deg,10.0,7.3,0.004174990404124923,0.8571435616882238,0.02139072317227536
