dataset,material,angle_deg,kind,order,wavenumber_cm,reflectance_pct
SiC_10deg,SiC,10.0,peak,0,1088.619,9.348581336
SiC_10deg,SiC,10.0,peak,1,1394.764,15.4971921
SiC_10deg,SiC,10.0,peak,2,1838.311,17.50359095
SiC_10deg,SiC,10.0,peak,3,2080.333,17.97925574
SiC_10deg,SiC,10.0,peak,4,2325.731,18.15512007
SiC_10deg,SiC,10.0,peak,5,2585.11,18.36610832
SiC_10deg,SiC,10.0,peak,6,2841.596,18.43021494
SiC_10deg,SiC,10.0,peak,7,3093.261,18.45408629
SiC_10deg,SiC,10.0,peak,8,3350.711,18.49300355
SiC_10deg,SiC,10.0,peak,9,3609.125,18.56771854
SiC_10deg,SiC,10.0,peak,10,3855.969,18.65633161
SiC_10deg,SiC,10.0,trough,0,1127.671,6.566128768
SiC_10deg,SiC,10.0,trough,1,1472.866,13.87305847
SiC_10deg,SiC,10.0,trough,2,1712.479,15.18330026
SiC_10deg,SiC,10.0,trough,3,2198.934,16.65952653
SiC_10deg,SiC,10.0,trough,4,2450.117,17.09742727
SiC_10deg,SiC,10.0,trough,5,2704.675,17.46058156
SiC_10deg,SiC,10.0,trough,6,2960.678,17.70727144
SiC_10deg,SiC,10.0,trough,7,3217.647,17.9012994
SiC_10deg,SiC,10.0,trough,8,3467.865,18.05039714
SiC_10deg,SiC,10.0,trough,9,3720.977,18.15739771
SiC_10deg,SiC,10.0,trough,10,3971.677,18.20037523
SiC_15deg,SiC,15.0,peak,0,1094.887,10.70077961
SiC_15deg,SiC,15.0,peak,1,1406.816,16.39794313
SiC_15deg,SiC,15.0,peak,2,1857.114,18.31174125
SiC_15deg,SiC,15.0,peak,3,2099.136,18.73587011
SiC_15deg,SiC,15.0,peak,4,2611.626,19.11691289
SiC_15deg,SiC,15.0,peak,5,2867.148,19.18373982
SiC_15deg,SiC,15.0,peak,6,3123.634,19.29784597
SiC_15deg,SiC,15.0,peak,7,3381.084,19.40775632
SiC_15deg,SiC,15.0,peak,8,3634.678,19.51106829
SiC_15deg,SiC,15.0,peak,9,3884.414,19.65727791
SiC_15deg,SiC,15.0,trough,0,1028.837,2.993162777
SiC_15deg,SiC,15.0,trough,1,1290.144,12.34736028
SiC_15deg,SiC,15.0,trough,2,1730.317,15.99521881
SiC_15deg,SiC,15.0,trough,3,2218.701,17.35844941
SiC_15deg,SiC,15.0,trough,4,2474.705,17.84583852
SiC_15deg,SiC,15.0,trough,5,2731.191,18.21790531
SiC_15deg,SiC,15.0,trough,6,2988.641,18.51869438
SiC_15deg,SiC,15.0,trough,7,3246.574,18.82042155
SiC_15deg,SiC,15.0,trough,8,3496.792,18.97770829
SiC_15deg,SiC,15.0,trough,9,3765.331,19.27077305
Si_10deg,Si,10.0,peak,0,1105.494,55.78677914
Si_10deg,Si,10.0,peak,1,1508.543,39.31080318
Si_10deg,Si,10.0,peak,2,1928.467,33.07472174
Si_10deg,Si,10.0,peak,3,2360.443,30.12722452
Si_10deg,Si,10.0,peak,4,2779.403,29.42457052
Si_10deg,Si,10.0,peak,5,3213.79,28.84795814
Si_10deg,Si,10.0,peak,6,3641.427,28.54239915
Si_10deg,Si,10.0,peak,7,3975.534,28.19693194
Si_10deg,Si,10.0,trough,0,1314.25,11.67728872
Si_10deg,Si,10.0,trough,1,1722.603,20.77100694
Si_10deg,Si,10.0,trough,2,2142.044,24.51520617
Si_10deg,Si,10.0,trough,3,2566.789,26.23025414
Si_10deg,Si,10.0,trough,4,2996.355,27.06729446
Si_10deg,Si,10.0,trough,5,3428.814,27.55309476
Si_10deg,Si,10.0,trough,6,3868.022,27.82432175
Si_15deg,Si,15.0,peak,0,1113.689,60.61770918
Si_15deg,Si,15.0,peak,1,1520.596,43.02453768
Si_15deg,Si,15.0,peak,2,1945.823,36.12670795
Si_15deg,Si,15.0,peak,3,2392.745,33.2571595
Si_15deg,Si,15.0,peak,4,2804.473,32.1475371
Si_15deg,Si,15.0,peak,5,3243.199,31.66704233
Si_15deg,Si,15.0,peak,6,3666.015,31.43207395
Si_15deg,Si,15.0,peak,7,3975.534,30.93377368
Si_15deg,Si,15.0,trough,0,1325.339,13.30317512
Si_15deg,Si,15.0,trough,1,1738.995,22.91486193
Si_15deg,Si,15.0,trough,2,2162.293,26.81183012
Si_15deg,Si,15.0,trough,3,2591.859,28.66814513
Si_15deg,Si,15.0,trough,4,3021.907,29.63173861
Si_15deg,Si,15.0,trough,5,3452.92,30.252678
Si_15deg,Si,15.0,trough,6,3896.949,30.77151321
