dataset,angle_deg,band,band_min_cm,band_max_cm,band_width_cm,n_model,n_eff,k_mean,k_max,status,n_uniform_points,fft_resolution,target_frequency_min,target_frequency_max,peak_frequency_cycles_per_cm,peak_period_cm,thickness_um,peak_amplitude,second_amplitude,peak_to_second,peak_to_median,target_band_energy_fraction,detrended_std
SiC_10deg,10.0,1500-4000,1500.0,4000.0,2500.0,constant_n,2.6,,,ok,2500,0.0004,0.0015565168395303224,0.00622606735812129,0.004,250.0,7.709521474641411,3.53563604058569,2.125203019276463,1.663669780494391,35.17850241772281,0.5035016046809825,0.018941581862915488
SiC_10deg,10.0,1500-4000,1500.0,4000.0,2500.0,larruquert_n_eff,3.0746948532940443,0.015578024133637612,0.059285845658815076,ok,2500,0.0004,0.00184187244684742,0.00736748978738968,0.004,250.0,6.515109132849782,3.53563604058569,2.125203019276463,1.663669780494391,43.45793289674494,0.503394399538898,0.018941581862915488
SiC_10deg,10.0,1500-4000,1500.0,4000.0,2500.0,dong_constrained_n_eff,2.4790069890035022,0.0032727580174276463,0.00812479544589523,ok,2500,0.0004,0.0014837506213281326,0.005935002485312531,0.004,250.0,8.087612451517344,3.53563604058569,2.125203019276463,1.663669780494391,33.616493927244534,0.5034910694385207,0.018941581862915488
SiC_10deg,10.0,1500-2500,1500.0,2500.0,1000.0,constant_n,2.6,,,ok,1000,0.001,0.0015565168395303224,0.00622606735812129,0.004,250.0,7.709521474641411,2.7015776658643005,1.344406921513191,2.0094940174984757,2.843614514076297,0.3061656630444462,0.02560439539307706
SiC_10deg,10.0,1500-2500,1500.0,2500.0,1000.0,larruquert_n_eff,3.0310309738355574,0.025409076259544236,0.059285845658815076,ok,1000,0.001,0.0018156316330433476,0.0072625265321733905,0.004,250.0,6.609270174416213,2.7015776658643005,1.344406921513191,2.0094940174984757,4.808145535630347,0.30669767220671135,0.02560439539307706
SiC_10deg,10.0,1500-2500,1500.0,2500.0,1000.0,dong_constrained_n_eff,2.422906080689964,0.00480675516606479,0.00812479544589523,ok,1000,0.001,0.0014500052644888736,0.005800021057955494,0.004,250.0,8.275832022051311,2.7015776658643005,1.344406921513191,2.0094940174984757,2.3548726829127635,0.3052474209684539,0.02560439539307706
SiC_10deg,10.0,2500-4000,2500.0,4000.0,1500.0,constant_n,2.6,,,ok,1500,0.0006666666666666666,0.0015565168395303224,0.00622606735812129,0.004,250.0,7.709521474641411,1.5361917683703534,0.4926127584799339,3.118457128700065,7.318435487382566,0.10319720674693642,0.0245799377694023
SiC_10deg,10.0,2500-4000,2500.0,4000.0,1500.0,larruquert_n_eff,3.1039759571123313,0.008928874207308812,0.010995738981390541,ok,1500,0.0006666666666666666,0.0018594689292862013,0.007437875717144805,0.004,250.0,6.453455506033364,1.5361917683703534,0.4926127584799339,3.118457128700065,21.507476257517805,0.10354387628853347,0.0245799377694023
SiC_10deg,10.0,2500-4000,2500.0,4000.0,1500.0,dong_constrained_n_eff,2.516729220662398,0.0022419056101218786,0.0031088842375662433,ok,1500,0.0006666666666666666,0.0015064388540496456,0.006025755416198582,0.004,250.0,7.96580622422298,1.5361917683703534,0.4926127584799339,3.118457128700065,7.318435487382566,0.10319720674693642,0.0245799377694023
SiC_10deg,10.0,1500-2000,1500.0,2000.0,500.0,constant_n,2.6,,,ok,500,0.002,0.0015565168395303224,0.00622606735812129,0.002,500.0,3.8547607373207056,4.786019756854761,2.97466153293671,1.608929185341568,1.608929185341568,0.997447366079696,0.026445251915774383
SiC_10deg,10.0,1500-2000,1500.0,2000.0,500.0,larruquert_n_eff,3.0036450263714154,0.03553181816555629,0.059285845658815076,ok,500,0.002,0.0017991727854049845,0.007196691141619938,0.002,500.0,3.334865916532542,4.786019756854761,2.97466153293671,1.608929185341568,1.608929185341568,0.997447366079696,0.026445251915774383
SiC_10deg,10.0,1500-2000,1500.0,2000.0,500.0,dong_constrained_n_eff,2.38060908938241,0.005912478190832153,0.00812479544589523,frequency_grid_too_coarse,500,0.002,0.0014245604728699713,0.005698241891479885,,,,,,,,,
SiC_10deg,10.0,2000-2500,2000.0,2500.0,500.0,constant_n,2.6,,,ok,500,0.002,0.0015565168395303224,0.00622606735812129,0.002,500.0,3.8547607373207056,5.004736176328211,2.6225198057327463,1.9083692582179985,1.9083692582179985,0.9965588673190842,0.028981148545508473
SiC_10deg,10.0,2000-2500,2000.0,2500.0,500.0,larruquert_n_eff,3.058507340195384,0.015230440407722536,0.021225612509225923,ok,500,0.002,0.0018321443299456292,0.007328577319782517,0.002,500.0,3.27485116861839,5.004736176328211,2.6225198057327463,1.9083692582179985,1.9083692582179985,0.9965588673190842,0.028981148545508473
SiC_10deg,10.0,2000-2500,2000.0,2500.0,500.0,dong_constrained_n_eff,2.4653845846851095,0.0036963509955224116,0.004452521147892237,frequency_grid_too_coarse,500,0.002,0.0014755569409163893,0.005902227763665557,,,,,,,,,
SiC_10deg,10.0,2500-3000,2500.0,3000.0,500.0,constant_n,2.6,,,ok,500,0.002,0.0015565168395303224,0.00622606735812129,0.002,500.0,3.8547607373207056,5.147051047731233,2.6173004704929808,1.9665495443714804,1.9665495443714804,0.9963170625847048,0.029716491629506164
SiC_10deg,10.0,2500-3000,2500.0,3000.0,500.0,larruquert_n_eff,3.087144740280548,0.009552377542293286,0.010995738981390541,ok,500,0.002,0.0018493542723936184,0.007397417089574474,0.002,500.0,3.2443756664504324,5.147051047731233,2.6173004704929808,1.9665495443714804,1.9665495443714804,0.9963170625847048,0.029716491629506164
SiC_10deg,10.0,2500-3000,2500.0,3000.0,500.0,dong_constrained_n_eff,2.500705498516281,0.0027272139975983256,0.0031088842375662433,frequency_grid_too_coarse,500,0.002,0.0014968015059629337,0.005987206023851735,,,,,,,,,
SiC_10deg,10.0,3000-3500,3000.0,3500.0,500.0,constant_n,2.6,,,ok,500,0.002,0.0015565168395303224,0.00622606735812129,0.002,500.0,3.8547607373207056,5.130394554763168,2.527987275175835,2.029438441064274,2.029438441064274,0.9963403716311898,0.02981788960817171
SiC_10deg,10.0,3000-3500,3000.0,3500.0,500.0,larruquert_n_eff,3.1051935269032156,0.008481488844869916,0.008816470352728856,ok,500,0.002,0.0018602006165919982,0.007440802466367993,0.002,500.0,3.225458558868972,5.130394554763168,2.527987275175835,2.029438441064274,2.029438441064274,0.9963403716311898,0.02981788960817171
