dataset,angle_deg,band,frequency_cycles_per_cm,amplitude
SiC_10deg,10.0,1500-4000,0.0008,0.12391856822270221
SiC_10deg,10.0,1500-4000,0.0012000000000000001,0.06722090700078519
SiC_10deg,10.0,1500-4000,0.0016,0.09583554092873438
SiC_10deg,10.0,1500-4000,0.002,0.03552749049573053
SiC_10deg,10.0,1500-4000,0.0024000000000000002,0.09266305762330611
SiC_10deg,10.0,1500-4000,0.0028,0.044060711303110296
SiC_10deg,10.0,1500-4000,0.0032,0.4763304446334337
SiC_10deg,10.0,1500-4000,0.0036000000000000003,2.125203019276463
SiC_10deg,10.0,1500-4000,0.004,3.53563604058569
SiC_10deg,10.0,1500-4000,0.0044,1.5429740313515958
SiC_10deg,10.0,1500-4000,0.0048000000000000004,0.2466306594099535
SiC_10deg,10.0,1500-4000,0.005200000000000001,0.10517563337324208
SiC_10deg,10.0,1500-4000,0.0056,0.0700522767201971
SiC_10deg,10.0,1500-4000,0.006,0.020314629470823624
SiC_10deg,10.0,1500-4000,0.0064,0.060569654849299805
SiC_10deg,10.0,1500-4000,0.0068000000000000005,0.03509406471195374
SiC_10deg,10.0,1500-4000,0.007200000000000001,0.009206437818052417
SiC_10deg,10.0,1500-4000,0.0076,0.05878036703678928
SiC_10deg,10.0,1500-4000,0.008,0.04114633772508169
SiC_10deg,10.0,1500-2500,0.001,4.770955121692852
SiC_10deg,10.0,1500-2500,0.002,0.14586396160283402
SiC_10deg,10.0,1500-2500,0.003,0.9500505966934357
SiC_10deg,10.0,1500-2500,0.004,2.7015776658643005
SiC_10deg,10.0,1500-2500,0.005,1.344406921513191
SiC_10deg,10.0,1500-2500,0.006,0.1736997747728574
SiC_10deg,10.0,1500-2500,0.007,0.13221484389689844
SiC_10deg,10.0,1500-2500,0.008,0.049331253967296165
SiC_10deg,10.0,2500-4000,0.0006666666666666666,4.987149484778092
SiC_10deg,10.0,2500-4000,0.0013333333333333333,0.25775137184189895
SiC_10deg,10.0,2500-4000,0.002,0.03071940795327572
SiC_10deg,10.0,2500-4000,0.0026666666666666666,0.20990712714744056
SiC_10deg,10.0,2500-4000,0.003333333333333333,0.4716300383617392
SiC_10deg,10.0,2500-4000,0.004,1.5361917683703534
SiC_10deg,10.0,2500-4000,0.004666666666666666,0.4926127584799339
SiC_10deg,10.0,2500-4000,0.005333333333333333,0.04578799837776317
SiC_10deg,10.0,2500-4000,0.006,0.020047047312128308
SiC_10deg,10.0,2500-4000,0.006666666666666666,0.07142594277342917
SiC_10deg,10.0,2500-4000,0.007333333333333333,0.0674378879339793
SiC_10deg,10.0,2500-4000,0.008,0.0280407004241394
SiC_10deg,10.0,1500-2000,0.002,4.786019756854761
SiC_10deg,10.0,1500-2000,0.004,2.97466153293671
SiC_10deg,10.0,1500-2000,0.006,0.6302911749351685
SiC_10deg,10.0,1500-2000,0.008,0.14641399170713695
SiC_10deg,10.0,2000-2500,0.002,5.004736176328211
SiC_10deg,10.0,2000-2500,0.004,2.6225198057327463
SiC_10deg,10.0,2000-2500,0.006,0.45402881787789623
SiC_10deg,10.0,2000-2500,0.008,0.2102092686517546
SiC_10deg,10.0,2500-3000,0.002,5.147051047731233
SiC_10deg,10.0,2500-3000,0.004,2.6173004704929808
SiC_10deg,10.0,2500-3000,0.006,0.25604140923029006
SiC_10deg,10.0,2500-3000,0.008,0.21259600029619444
SiC_10deg,10.0,3000-3500,0.002,5.130394554763168
SiC_10deg,10.0,3000-3500,0.004,2.527987275175835
SiC_10deg,10.0,3000-3500,0.006,0.13711517547816554
SiC_10deg,10.0,3000-3500,0.008,0.20884422334684868
SiC_10deg,10.0,3500-4000,0.002,5.15649226161063
SiC_10deg,10.0,3500-4000,0.004,2.5219728810631525
SiC_10deg,10.0,3500-4000,0.006,0.10456102910370925
SiC_10deg,10.0,3500-4000,0.008,0.20639976649945432
SiC_15deg,15.0,1500-4000,0.0008,0.17701061941377547
SiC_15deg,15.0,1500-4000,0.0012000000000000001,0.029439019146109767
SiC_15deg,15.0,1500-4000,0.0016,0.25304286710083207
SiC_15deg,15.0,1500-4000,0.002,0.21639589196848946
SiC_15deg,15.0,1500-4000,0.0024000000000000002,0.27791976690917597
SiC_15deg,15.0,1500-4000,0.0028,0.20868360264916652
SiC_15deg,15.0,1500-4000,0.0032,0.3451445935704
SiC_15deg,15.0,1500-4000,0.0036000000000000003,2.183026764696537
SiC_15deg,15.0,1500-4000,0.004,3.500201727699514
SiC_15deg,15.0,1500-4000,0.0044,1.2486099472379586
SiC_15deg,15.0,1500-4000,0.0048000000000000004,0.07234388830154279
SiC_15deg,15.0,1500-4000,0.005200000000000001,0.19544674157022338
SiC_15deg,15.0,1500-4000,0.0056,0.20982589402113952
SiC_15deg,15.0,1500-4000,0.006,0.12548958661765106
SiC_15deg,15.0,1500-4000,0.0064,0.13729244227415066
SiC_15deg,15.0,1500-4000,0.0068000000000000005,0.12699482890523472
SiC_15deg,15.0,1500-4000,0.007200000000000001,0.08647309115721499
