dataset,material,angle_deg,kind,window,min_spacing_cm,region_min_cm,region_max_cm,n_extrema,interval_mean_um,interval_std_um,interval_count,fod_d_um,fod_r2,fod_rss
SiC_10deg,SiC,10.0,peak,61,200.0,1000.0,4000.0,12,7.732790041958513,0.6937493382254081,11,7.695208487979655,0.999599895584432,0.05721493142623014
SiC_10deg,SiC,10.0,trough,61,200.0,1000.0,4000.0,12,7.398218367549235,0.9661874217256081,11,7.401796776334326,0.996943330650114,0.43710371703369694
SiC_10deg,SiC,10.0,peak,61,200.0,1200.0,4000.0,11,7.881419756674939,0.5351805729410116,10,7.70302711985867,0.9994948428733432,0.05556728393224997
SiC_10deg,SiC,10.0,trough,61,200.0,1200.0,4000.0,11,7.338489735678205,0.9937944169564547,10,7.468548889832496,0.9971321183365379,0.3154669829808286
SiC_10deg,SiC,10.0,peak,61,200.0,1500.0,3500.0,8,7.727715702313958,0.21298284113321225,7,7.653512564224683,0.9997816633681386,0.009170138538178227
SiC_10deg,SiC,10.0,trough,61,200.0,1500.0,3500.0,8,7.70804066432246,0.2047479317481452,7,7.647387735077787,0.9998927650451034,0.004503868105657656
SiC_10deg,SiC,10.0,peak,61,200.0,1700.0,3000.0,5,7.719621480176311,0.21020295711443301,4,7.653466732711564,0.9997447746916799,0.002552253083201476
SiC_10deg,SiC,10.0,trough,61,200.0,1700.0,3000.0,5,7.619920346776258,0.10910964017363925,4,7.588119231450927,0.9999458958148566,0.0005410418514336288
SiC_10deg,SiC,10.0,peak,61,240.0,1000.0,4000.0,11,7.443326970979783,0.8347956955066362,10,7.559683613950433,0.9984951440466376,0.16553415486985482
SiC_10deg,SiC,10.0,trough,61,240.0,1000.0,4000.0,11,6.940340495906076,1.3799795726803064,10,6.869312719280783,0.9832517882734886,1.842303289916257
SiC_10deg,SiC,10.0,peak,61,240.0,1200.0,4000.0,11,7.44458223563186,0.8311273237498534,10,7.560476176160718,0.9985181600920594,0.16300238987346674
SiC_10deg,SiC,10.0,trough,61,240.0,1200.0,4000.0,10,6.823100030311248,1.4065859692725224,9,6.998158778856085,0.9817261417717785,1.5075933038282745
SiC_10deg,SiC,10.0,peak,61,240.0,1500.0,3500.0,8,7.727715702313958,0.21298284113321225,7,7.653512564224683,0.9997816633681386,0.009170138538178227
SiC_10deg,SiC,10.0,trough,61,240.0,1500.0,3500.0,7,6.996547927712732,1.3458952618452822,6,7.141067074524183,0.9839841854334452,0.4484428078635338
SiC_10deg,SiC,10.0,peak,61,240.0,1700.0,3000.0,5,7.719621480176311,0.21020295711443301,4,7.653466732711564,0.9997447746916799,0.002552253083201476
SiC_10deg,SiC,10.0,trough,61,240.0,1700.0,3000.0,5,7.619920346776258,0.10910964017363925,4,7.588119231450927,0.9999458958148566,0.0005410418514336288
SiC_10deg,SiC,10.0,peak,61,280.0,1000.0,4000.0,7,4.320431154086973,0.8822460712191493,6,3.9800545908993907,0.9948607008495083,0.14390037621376803
SiC_10deg,SiC,10.0,trough,61,280.0,1000.0,4000.0,7,3.9417308080947357,0.22556901920108308,6,3.8603085976725042,0.9992459545628933,0.021113272238986874
SiC_10deg,SiC,10.0,peak,61,280.0,1200.0,4000.0,6,3.935218805945513,0.20904171175630115,5,3.8660900740949637,0.9993922810043807,0.010635082423338405
SiC_10deg,SiC,10.0,trough,61,280.0,1200.0,4000.0,6,3.9584275720190547,0.23945745073012137,5,3.876461229660726,0.9991780780108186,0.014383634810674248
SiC_10deg,SiC,10.0,peak,61,280.0,1500.0,3500.0,4,3.8373025971411874,0.08646148730554097,3,3.8152337393844435,0.999860581065958,0.0006970946702101294
SiC_10deg,SiC,10.0,trough,61,280.0,1500.0,3500.0,4,3.8525596259670323,0.0970308912287397,3,3.826118298604252,0.9998077534441712,0.0009612327791441844
SiC_10deg,SiC,10.0,peak,61,280.0,1700.0,3000.0,3,3.8594896865885544,0.09867412206953219,2,3.836948117039825,0.9997412193818914,0.0005175612362171931
SiC_10deg,SiC,10.0,trough,61,280.0,1700.0,3000.0,3,3.8095035750703765,0.03448630261305907,2,3.802257473706869,0.9999673382370605,6.532352587884817e-05
SiC_10deg,SiC,10.0,peak,101,200.0,1000.0,4000.0,12,7.718861713079454,0.6637815344351172,11,7.676396629341142,0.9995585713098466,0.06312430269193689
SiC_10deg,SiC,10.0,trough,101,200.0,1000.0,4000.0,12,7.5243688155217265,0.6440499130485875,11,7.60454351693667,0.9994575720566345,0.07756719590125516
SiC_10deg,SiC,10.0,peak,101,200.0,1200.0,4000.0,11,7.8611833418796495,0.5117192704354584,10,7.681202794002405,0.9994318486082939,0.062496653087664306
SiC_10deg,SiC,10.0,trough,101,200.0,1200.0,4000.0,11,7.358776172240236,0.9860349207522001,10,7.4981658219651255,0.997085779883306,0.32056421283633496
SiC_10deg,SiC,10.0,peak,101,200.0,1500.0,3500.0,8,7.733402610778097,0.2715408897867101,7,7.637740088811155,0.9996902702249469,0.013008650552226612
SiC_10deg,SiC,10.0,trough,101,200.0,1500.0,3500.0,8,7.6911646672360465,0.20571805495982504,7,7.628095106228128,0.9998865702382832,0.004764049992107316
SiC_10deg,SiC,10.0,peak,101,200.0,1700.0,3000.0,5,7.69076764385771,0.22349701761020885,4,7.622226142899609,0.9997031959430862,0.002968040569137733
SiC_10deg,SiC,10.0,trough,101,200.0,1700.0,3000.0,5,7.619059021368101,0.07135661295949416,4,7.597784805147324,0.9999631029367126,0.00036897063287318456
SiC_10deg,SiC,10.0,peak,101,240.0,1000.0,4000.0,11,7.181562704950696,1.041892478133318,10,7.295709143739004,0.9939594849952911,0.6644566505179783
SiC_10deg,SiC,10.0,trough,101,240.0,1000.0,4000.0,11,7.086867347619473,1.2208337282510435,10,7.086235443763699,0.9908096429853819,1.010939271607999
SiC_10deg,SiC,10.0,peak,101,240.0,1200.0,4000.0,10,7.279997958269939,1.053214362546377,9,7.427972856417775,0.9957776029961918,0.34834775281417585
SiC_10deg,SiC,10.0,trough,101,240.0,1200.0,4000.0,10,6.8542642475397875,1.4224829139879172,9,7.026837655960572,0.98112791332959,1.5569471503088235
SiC_10deg,SiC,10.0,peak,101,240.0,1500.0,3500.0,7,7.651335385922921,0.19717587292188826,6,7.592830811893332,0.9998675918704498,0.0037074276274050018
SiC_10deg,SiC,10.0,trough,101,240.0,1500.0,3500.0,7,6.989794862684676,1.3559739195335345,6,7.123253212480938,0.9841240298570907,0.44452716400146075
SiC_10deg,SiC,10.0,peak,101,240.0,1700.0,3000.0,5,7.69076764385771,0.22349701761020885,4,7.622226142899609,0.9997031959430862,0.002968040569137733
