dataset,angle_deg,band,band_min_cm,band_max_cm,n_points,mean_residual,rmse,mae,std_residual,max_abs_residual,p95_abs_residual,lag1_autocorr,sign_runs,max_sign_run,positive_fraction
SiC_10deg,10.0,1500-2000,1500.0,2000.0,173,-0.000180631822569714,0.0022588353989665337,0.0016069436102612597,0.0022581374093613078,0.00757518978802782,0.005577583588482405,0.9681641533305694,8,63,0.31213872832369943
SiC_10deg,10.0,2000-2500,2000.0,2500.0,173,-0.00019190543170328542,0.0013090375091811808,0.001163082826621634,0.0012986531719407974,0.0022938530173867433,0.0020071817117034594,0.9882436099011581,7,52,0.4277456647398844
SiC_10deg,10.0,2500-3000,2500.0,3000.0,173,0.0001351125569066146,0.0007768590746382748,0.0006640658472349312,0.0007672400289001043,0.0017180420683426956,0.0014109526687589359,0.9771894980261601,9,45,0.5028901734104047
SiC_10deg,10.0,3000-3500,3000.0,3500.0,173,7.841967682483391e-05,0.0005339689217021309,0.00046644482318360835,0.0005297122809868356,0.001152694380637198,0.0008764994427771011,0.9418487249135574,9,46,0.5722543352601156
SiC_10deg,10.0,3500-4000,3500.0,4000.0,173,0.00015900502054148514,0.0009410837693623519,0.0008181829577623697,0.0009302462762847878,0.002110349474861356,0.0015278206815100561,0.9638293796597205,9,47,0.5317919075144508
SiC_10deg,10.0,1500-2500,1500.0,2500.0,346,-0.00018626862713649973,0.0018460656218113657,0.0013850132184414466,0.001839304175605665,0.00757518978802782,0.0026045804380004506,0.9731359605991272,14,63,0.3699421965317919
SiC_10deg,10.0,2500-4000,2500.0,4000.0,519,0.00012417908475764454,0.0007690408511361898,0.0006495645427269699,0.0007596810918227158,0.002110349474861356,0.0013959743864521367,0.9656476482980306,26,48,0.535645472061657
SiC_10deg,10.0,1500-4000,1500.0,4000.0,865,-1.3155821968101566e-17,0.0013107393373372443,0.0009437440130127605,0.0013114976476912988,0.00757518978802782,0.00203285485336564,0.9726267234461212,39,63,0.46936416184971097
SiC_15deg,15.0,1500-2000,1500.0,2000.0,173,0.0003719556112729633,0.002804555927726774,0.0022366277288757507,0.002787850149739522,0.008418654472250292,0.006528584526746159,0.9690219184457671,6,38,0.49710982658959535
SiC_15deg,15.0,2000-2500,2000.0,2500.0,173,-0.001702962116144436,0.0026218530945131017,0.002185227053017852,0.001999284503806952,0.005630200245398703,0.004629740696041685,0.9874605622073367,7,75,0.26011560693641617
SiC_15deg,15.0,2500-3000,2500.0,3000.0,173,-0.0007544613132635428,0.0015475423767347626,0.0012523945787020077,0.0013550977555960406,0.0034893543449201203,0.0030337518810521274,0.9806174628755887,5,62,0.3583815028901734
SiC_15deg,15.0,3000-3500,3000.0,3500.0,173,0.00015353605909516698,0.0009674393381444572,0.0008306081312712149,0.0009579509394681951,0.001948421178875115,0.0016328451362302599,0.974056682231672,10,48,0.6011560693641619
SiC_15deg,15.0,3500-4000,3500.0,4000.0,173,0.0019319317590395806,0.0020587823863998777,0.0019319317590395806,0.0007135599198404945,0.003437699544945244,0.0029367568817294356,0.8653842682440123,1,173,1.0
SiC_15deg,15.0,1500-2500,1500.0,2500.0,346,-0.0006655032524357364,0.0027147419399415587,0.002210927390946801,0.002635717601942502,0.008418654472250292,0.005179593371151897,0.9778953269525339,12,75,0.3786127167630058
SiC_15deg,15.0,2500-4000,2500.0,4000.0,519,0.00044366883495706826,0.0015884385619563256,0.0013383114896709345,0.0015266911760549496,0.0034893543449201203,0.0028822714911458376,0.9790231886331243,14,221,0.653179190751445
SiC_15deg,15.0,1500-4000,1500.0,4000.0,865,-5.365008373333126e-17,0.0021123001110772564,0.0016873578501812813,0.0021135221534768953,0.008418654472250292,0.003961569938269837,0.9834127224739156,25,221,0.5433526011560693
