dataset,angle_deg,thickness_um,wavenumber_cm,observed_reflectance,model_raw_reflectance,fitted_reflectance,residual
SiC_10deg,10.0,7.465,1500.347,0.1443565194,0.14300361718647908,0.13879454644666472,0.00556197295333527
SiC_10deg,10.0,7.465,1503.24,0.14496072299999999,0.1435717520683412,0.13935972345879688,0.0056009995412031055
SiC_10deg,10.0,7.465,1506.133,0.14626487700000002,0.1442151631162509,0.1399997847281183,0.0062650922718817115
SiC_10deg,10.0,7.465,1509.025,0.1478220472,0.14492938602841152,0.140710289195241,0.0071117580047589946
SiC_10deg,10.0,7.465,1511.918,0.14874472519999998,0.14571025609983354,0.14148709383779917,0.0072576313622008115
SiC_10deg,10.0,7.465,1514.811,0.1497519751,0.14655247196540427,0.14232492489107554,0.007427050208924452
SiC_10deg,10.0,7.465,1517.703,0.1507932595,0.1474502910847481,0.14321806971197218,0.00757518978802782
SiC_10deg,10.0,7.465,1520.596,0.1515868491,0.14839860750193615,0.14416144892760058,0.007425400172399427
SiC_10deg,10.0,7.465,1523.489,0.1524925269,0.1493911380506575,0.145148812083578,0.0073437148164220145
SiC_10deg,10.0,7.465,1526.381,0.1521778937,0.15042133701676674,0.1461736475445849,0.006004246155415116
SiC_10deg,10.0,7.465,1529.274,0.1525942497,0.15148358509498805,0.14723036526102667,0.005363884438973315
SiC_10deg,10.0,7.465,1532.167,0.1533039237,0.15257109949679998,0.14831221775748354,0.004991705942516467
SiC_10deg,10.0,7.465,1535.06,0.1546591588,0.1536773976451521,0.14941275620702155,0.005246402592978455
SiC_10deg,10.0,7.465,1537.952,0.1552090704,0.15479560683258142,0.15052514368342265,0.004683926716577358
SiC_10deg,10.0,7.465,1540.845,0.15680834629999998,0.15592006110656156,0.15164374373270034,0.005164602567299642
SiC_10deg,10.0,7.465,1543.738,0.156567751,0.1570440213045664,0.152761852278301,0.003805898721699008
SiC_10deg,10.0,7.465,1546.63,0.1558737664,0.15816087647507288,0.15387289278717156,0.002000873612828441
SiC_10deg,10.0,7.465,1549.523,0.1553173403,0.15926533973126622,0.15497160589751463,0.0003457344024853648
SiC_10deg,10.0,7.465,1552.416,0.1548782588,0.160351163131737,0.1560517761964582,-0.0011735173964581846
SiC_10deg,10.0,7.465,1555.308,0.1550556363,0.1614123573336982,0.15710744552341557,-0.0020518092234155794
SiC_10deg,10.0,7.465,1558.201,0.1559556426,0.16244429274329858,0.15813400838750122,-0.0021783657875012186
SiC_10deg,10.0,7.465,1561.094,0.1572054468,0.1634415213275221,0.15912604511968875,-0.0019205983196887433
SiC_10deg,10.0,7.465,1563.987,0.15742744679999998,0.16439927828760653,0.16007881572809626,-0.0026513689280962816
SiC_10deg,10.0,7.465,1566.879,0.158218104,0.16531282318685941,0.16098760445607588,-0.0027695004560758796
SiC_10deg,10.0,7.465,1569.772,0.1594626209,0.16617870605603144,0.16184897929588696,-0.002386358395886967
SiC_10deg,10.0,7.465,1572.665,0.1605825163,0.1669928848136476,0.1626589192102657,-0.002076402910265701
SiC_10deg,10.0,7.465,1575.557,0.1620856503,0.16775176542895442,0.16341384887999197,-0.0013281985799919738
SiC_10deg,10.0,7.465,1578.45,0.16336315240000002,0.16845291864298162,0.16411135169349977,-0.0007481992934997572
SiC_10deg,10.0,7.465,1581.343,0.1643363953,0.1690935113854812,0.16474860933030042,-0.0004122140303004229
SiC_10deg,10.0,7.465,1584.235,0.1652964659,0.16967119315987905,0.16532328353116496,-2.6817631164965938e-05
SiC_10deg,10.0,7.465,1587.128,0.1659574643,0.17018460429748528,0.1658340217062205,0.00012344259377949918
SiC_10deg,10.0,7.465,1590.021,0.1661166121,0.17063217754921875,0.16627926476592475,-0.00016265266592474514
SiC_10deg,10.0,7.465,1592.914,0.1664076808,0.1710129586924108,0.16665806345556017,-0.00025038265556015515
SiC_10deg,10.0,7.465,1595.806,0.1666798889,0.17132629647113412,0.16696976990982074,-0.00028988100982074716
SiC_10deg,10.0,7.465,1598.699,0.1664984254,0.1715722482426154,0.16721444118731527,-0.0007160157873152551
SiC_10deg,10.0,7.465,1601.592,0.16666057469999998,0.17175092382161478,0.1673921865310774,-0.0007316118310774222
SiC_10deg,10.0,7.465,1604.484,0.1664060967,0.17186290745769042,0.1675035871488981,-0.0010974904488980919
SiC_10deg,10.0,7.465,1607.377,0.1662788627,0.17190926051318423,0.16754969887736884,-0.0012708361773688392
SiC_10deg,10.0,7.465,1610.27,0.1657685929,0.17189127920321606,0.1675318111831496,-0.001763218283149598
SiC_10deg,10.0,7.465,1613.162,0.1654002169,0.17181069886109473,0.16745165036491672,-0.0020514334649167076
SiC_10deg,10.0,7.465,1616.055,0.16490292039999999,0.1716694972902491,0.167311183929099,-0.0024082635290990084
SiC_10deg,10.0,7.465,1618.948,0.164674138,0.17147004854761833,0.1671127735726285,-0.0024386355726284947
SiC_10deg,10.0,7.465,1621.841,0.1643948545,0.1712150166751606,0.16685906946771295,-0.0024642149677129577
SiC_10deg,10.0,7.465,1624.733,0.1641781964,0.17090747095579154,0.16655312491771923,-0.002374928517719227
SiC_10deg,10.0,7.465,1627.626,0.1639082356,0.17055042392506153,0.1661979367740917,-0.0022897011740916906
SiC_10deg,10.0,7.465,1630.519,0.1637648177,0.17014745175293106,0.16579706258824584,-0.0020322448882458266
SiC_10deg,10.0,7.465,1633.411,0.16340204719999998,0.1697024260485786,0.16535435381267558,-0.0019523066126755917
SiC_10deg,10.0,7.465,1636.304,0.1631585445,0.16921895928492395,0.16487340411275228,-0.0017148596127522786
SiC_10deg,10.0,7.465,1639.197,0.1627975825,0.16870130745621015,0.16435844732481786,-0.001560864824817848
SiC_10deg,10.0,7.465,1642.089,0.1624714465,0.16815393787027993,0.163813927498656,-0.0013424809986559982
