dataset,angle_deg,band,band_min_cm,band_max_cm,rmse,mae,lag1_autocorr,max_sign_run,positive_fraction,overlapping_fft_windows,period_weighted_mean_cm,period_weighted_std_cm,period_min_cm,period_max_cm,period_range_cm,thickness_weighted_mean_um,thickness_min_um,thickness_max_um,thickness_range_um,min_peak_to_median,median_peak_to_median,dataset_high_rmse_threshold,diagnosis,period_stable,frequency_evidence_weak
SiC_10deg,10.0,1500-2000,1500.0,2000.0,0.0022588353989665,0.0016069436102612,0.9681641533305694,63,0.3121387283236994,6,247.04422696494515,3.546542835722897,244.53731343283584,252.06153846153848,7.524225028702631,7.803354461355457,7.64646752703387,7.881743450942604,0.23527592390873409,3.8658076976404057,4.469596473591686,0.0013090375091811,残差高但周期稳定：优先怀疑物理模型/材料参数/背景校准,True,False
SiC_10deg,10.0,2000-2500,2000.0,2500.0,0.0013090375091811,0.0011630828266216,0.988243609901158,52,0.4277456647398844,12,251.59792623313882,4.755119252237616,244.53731343283584,256.0,11.462686567164155,7.663326287727647,7.528829565079503,7.881743450942604,0.35291388586310113,3.8658076976404057,4.041089558984011,0.0013090375091811,残差高且频域证据偏弱：优先检查局部数据质量、吸收区或预处理,False,False
SiC_10deg,10.0,2500-3000,2500.0,3000.0,0.0007768590746382,0.0006640658472349,0.97718949802616,45,0.5028901734104047,18,253.21101979742315,3.225782094101863,244.53731343283584,256.0,11.462686567164155,7.613013071562085,7.528829565079503,7.881743450942604,0.35291388586310113,3.8658076976404057,4.469596473591686,0.0013090375091811,残差不高但周期不稳：不宜过度依赖该波段的频域初值,False,False
SiC_10deg,10.0,3000-3500,3000.0,3500.0,0.0005339689217021,0.0004664448231836,0.9418487249135574,46,0.5722543352601156,12,254.0117142958954,1.9691385761144726,252.06153846153848,256.0,3.9384615384615245,7.588217698168962,7.528829565079503,7.64646752703387,0.11763796195436704,3.991253848277748,4.458882946741262,0.0013090375091811,残差低且周期稳定：当前模型解释相对可信,True,False
SiC_10deg,10.0,3500-4000,3500.0,4000.0,0.0009410837693623,0.0008181829577623,0.9638293796597204,47,0.5317919075144508,6,252.97014493322433,1.6592003863134261,252.06153846153848,256.0,3.9384615384615245,7.619328347812782,7.528829565079503,7.64646752703387,0.11763796195436704,4.732869380966383,4.77266304867792,0.0013090375091811,残差低且周期稳定：当前模型解释相对可信,True,False
SiC_15deg,15.0,1500-2000,1500.0,2000.0,0.0028045559277267,0.0022366277288757,0.9690219184457672,38,0.4971098265895953,6,251.2385697069295,3.0417308049009626,248.24242424242425,256.0,7.757575757575751,7.693716915679002,7.549517817461212,7.785440249256875,0.23592243179566275,2.997145677608661,4.372296805610468,0.0026218530945131,残差高且频域证据偏弱：优先检查局部数据质量、吸收区或预处理,True,True
SiC_15deg,15.0,2000-2500,2000.0,2500.0,0.0026218530945131,0.0021852270530178,0.9874605622073368,75,0.2601156069364161,12,253.77129953325544,3.0750666925462364,248.24242424242425,256.0,7.757575757575751,7.616950968606769,7.549517817461212,7.785440249256875,0.23592243179566275,2.997145677608661,3.8426481593543995,0.0026218530945131,残差高且频域证据偏弱：优先检查局部数据质量、吸收区或预处理,True,True
SiC_15deg,15.0,2500-3000,2500.0,3000.0,0.0015475423767347,0.001252394578702,0.9806174628755888,62,0.3583815028901734,18,255.07577832064234,2.1058560635445005,248.24242424242425,256.0,7.757575757575751,7.577398196591199,7.549517817461212,7.785440249256875,0.23592243179566275,2.997145677608661,4.230916443954584,0.0026218530945131,残差低且周期稳定：当前模型解释相对可信,True,True
SiC_15deg,15.0,3000-3500,3000.0,3500.0,0.0009674393381444,0.0008306081312712,0.974056682231672,48,0.6011560693641619,12,255.6023428591791,1.186602778090425,252.06153846153848,256.0,3.9384615384615245,7.561428082264767,7.549517817461212,7.667479033359044,0.11796121589783137,3.325821003580058,4.096826530217376,0.0026218530945131,残差低且周期稳定：当前模型解释相对可信,True,True
SiC_15deg,15.0,3500-4000,3500.0,4000.0,0.0020587823863998,0.0019319317590395,0.8653842682440123,173,1.0,6,255.09139352831411,1.659200386313426,252.06153846153848,256.0,3.9384615384615245,7.576731571645689,7.549517817461212,7.667479033359044,0.11796121589783137,4.197012590311103,4.37357772889143,0.0026218530945131,残差低且周期稳定：当前模型解释相对可信,True,False
