dataset,angle_deg,preprocessing,window_min_cm,window_max_cm,window_center_cm,window_width_cm,n_eff,status,n_points,fft_bin_spacing,peak_frequency_cycles_per_cm,peak_period_cm,constant_n_thickness_um,peak_to_second,peak_to_median
SiC_10deg,10.0,center_only,1500.347,2700.3469999999998,2100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00408935546875,244.53731343283582,7.881743450942604,1.000983898985027,3.954919082449467
SiC_10deg,10.0,center_only,1750.347,2950.3469999999998,2350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.003507577637328,4.757403460369756
SiC_10deg,10.0,center_only,2000.347,3200.3469999999998,2600.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.0027004852050254,4.060711109525357
SiC_10deg,10.0,center_only,2250.3469999999998,3450.3469999999998,2850.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.002543473355922,4.184896512516143
SiC_10deg,10.0,center_only,2500.3469999999998,3700.3469999999998,3100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.0002939321763666,4.7570031409313875
SiC_10deg,10.0,center_only,2750.3469999999998,3950.3469999999998,3350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.0027213269424997,4.959280889598903
SiC_10deg,10.0,ma_detrend_401cm,1500.347,2700.3469999999998,2100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00408935546875,244.53731343283582,7.881743450942604,1.0004625835349514,4.850710780540626
SiC_10deg,10.0,ma_detrend_401cm,1750.347,2950.3469999999998,2350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.0029992063883415,4.459987643673009
SiC_10deg,10.0,ma_detrend_401cm,2000.347,3200.3469999999998,2600.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.00237672769637,3.9912538482777475
SiC_10deg,10.0,ma_detrend_401cm,2250.3469999999998,3450.3469999999998,2850.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.0024740653316389,4.011193163110161
SiC_10deg,10.0,ma_detrend_401cm,2500.3469999999998,3700.3469999999998,3100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.0005020546910874,4.732869380966383
SiC_10deg,10.0,ma_detrend_401cm,2750.3469999999998,3950.3469999999998,3350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.001964256024684,6.440649145932157
SiC_10deg,10.0,rolling_median_401cm,1500.347,2700.3469999999998,2100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00408935546875,244.53731343283582,7.881743450942604,1.0001982999893135,3.8658076976404057
SiC_10deg,10.0,rolling_median_401cm,1750.347,2950.3469999999998,2350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.0030552423622956,4.479205303510363
SiC_10deg,10.0,rolling_median_401cm,2000.347,3200.3469999999998,2600.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.0022578575534482,4.006522698533556
SiC_10deg,10.0,rolling_median_401cm,2250.3469999999998,3450.3469999999998,2850.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.528829565079503,1.0023889752438007,4.021468008442664
SiC_10deg,10.0,rolling_median_401cm,2500.3469999999998,3700.3469999999998,3100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.0005557990817973,4.761565226679586
SiC_10deg,10.0,rolling_median_401cm,2750.3469999999998,3950.3469999999998,3350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00396728515625,252.06153846153848,7.64646752703387,1.002346335485973,4.783760870676255
SiC_15deg,15.0,center_only,1500.347,2700.3469999999998,2100.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.0040283203125,248.24242424242425,7.785440249256875,1.0001160298705416,3.09516584313547
SiC_15deg,15.0,center_only,1750.347,2950.3469999999998,2350.3469999999998,1200.0,2.6,ok,1201,6.103515625e-05,0.00390625,256.0,7.549517817461212,1.0010915766050106,4.401372590574913
